SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,Mean21
LINDENOW,292500,306000,306000,465000,450000,381750
LISMORE,182500,180000,163000,177500,177500,174500
LOCH SPORT,261300,304500,320000,312300,345500,320575
LONG GULLY,340000,347500,403000,399000,403000,388125
LONGWARRY,425000,474000,505000,500000,549000,507000
LORNE,1450000,1650000,1495000,2252500,1830000,1806875
LOVELY BANKS,567500,636300,675000,715000,673500,674950
LOWER PLENTY,860000,855300,1220000,1445000,1324000,1211075
LUCAS,505000,565000,535000,670000,600000,592500
LUCKNOW,280800,302500,359000,395000,410000,366625
LYNBROOK,700000,765000,711000,760000,732000,742000
LYNDHURST,716000,808100,757000,880000,871500,829150
LYSTERFIELD,1047200,1115500,952000,1170000,1248000,1121375
LYSTERFIELD SOUTH,1430000,1580000,1007000,1800000,1745000,1533000
MACEDON,920000,1045000,1185000,1160000,1000000,1097500
MACLEOD,981300,1160000,1078800,1175500,1237500,1162950
MADDINGLEY,527500,560000,544500,572500,595000,568000
MAFFRA,322500,315000,322500,360000,382500,345000
MAIDEN GULLY,646300,640000,712000,760000,755000,716750
MAIDSTONE,840000,795000,880000,907500,845000,856875
MALDON,578000,560000,640000,755000,624500,644875
MALLACOOTA,482500,520000,365000,350800,592000,456950
MALMSBURY,462500,722500,625000,505000,790000,660625
MALVERN,3230000,2645000,2850000,2925000,3505000,2981250
MALVERN EAST,1970500,2065000,2035000,1980000,2322500,2100625
MAMBOURIN,-,623000,560000,580000,627500,597625
MANIFOLD HEIGHTS,785000,923000,880000,950500,964800,929575
MANOR LAKES,600000,570000,595500,600000,626000,597875
MANSFIELD,520000,590000,589000,610000,760000,637250
MARENGO,750000,1000000,1230000,980000,1100000,1077500
MARIBYRNONG,908000,1222500,980000,1165000,1285000,1163125
MARLO,405000,370000,482500,352500,565000,442500
MARONG,465000,462500,530000,605000,650500,562000
MARSHALL,512000,538800,585000,630000,671300,606275
MARYBOROUGH,289500,306300,337500,333000,375000,337950
MARYSVILLE,466300,670000,695000,615000,645000,656250
MCCRAE,1300000,1150000,1125000,1250000,1080000,1151250
MCKENZIE HILL,549000,637000,722500,712500,750000,705500
MCKINNON,1850000,1827500,1980000,1960500,2050000,1954500
MCLOUGHLINS BEACH,317000,250000,280000,365000,275000,292500
MEADOW HEIGHTS,500000,520000,557500,550000,579000,551625
MELTON,396500,430000,445000,457500,496300,457200
MELTON SOUTH,435000,439000,451000,455000,495000,460000
MELTON WEST,490000,500000,488000,505500,532000,506375
MENTONE,1062500,1352500,1365000,1431000,1410000,1389625
MENZIES CREEK,915000,750500,960000,990000,1225000,981375
MERBEIN,246000,285000,215300,195000,299300,248650
MERINDA PARK,535000,565000,589000,640000,665000,614750
MERNDA,587500,625000,651000,655000,700000,657750
MERRIJIG (MANSFIELD),667500,900000,637500,940000,908500,846500
METUNG,355000,467000,675000,560000,565000,566750
MICKLEHAM,575000,600000,620000,661000,660000,635250
MIDDLE PARK,2875000,3400000,2819000,2710000,3267500,3049125
MILDURA,355000,359000,355000,382500,410300,376700
MILL PARK,691000,720000,725000,790000,801800,759200
MILLGROVE,430500,475000,540000,490000,618800,530950
MINERS REST,475500,445000,525000,525000,600000,523750
MINYIP,122500,95000,172500,124500,244500,159125
MIRBOO NORTH,402500,435500,525000,512500,493000,491500
MITCHAM,1135000,1206500,1214000,1221000,1235000,1219125
MOE,260000,280000,301000,320000,340000,310250
MONBULK,720000,740000,745000,598500,852500,734000
MONT ALBERT,2204400,1924000,2261300,2730000,2800000,2428825
MONT ALBERT NORTH,1437000,1429000,1600000,1763000,1530000,1580500
