            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
211051274,Belgrave - Selby," 5,986 "," 5,963 "," 6,171 "," 6,191 ","6,372", 45 , 44 , 44 , 44 , 44 ," 346,166,881 "," 358,383,739 "," 387,090,531 "," 395,846,396 ","419,034,816"," 46,935 "," 48,629 "," 50,490 "," 51,296 ","53,055"," 57,829 "," 60,101 "," 62,727 "," 63,939 ","65,762",,,,,,,,,
211051275,Chirnside Park," 5,911 "," 6,082 "," 6,479 "," 6,762 ","7,024", 45 , 45 , 44 , 44 , 43 ," 328,543,637 "," 343,028,808 "," 374,342,052 "," 412,651,508 ","442,566,323"," 45,793 "," 47,118 "," 49,304 "," 51,146 ","53,497"," 55,582 "," 56,401 "," 57,778 "," 61,025 ","63,008",,,,,,,,,
211051276,Healesville - Yarra Glen," 7,573 "," 7,588 "," 7,908 "," 8,088 ","8,182", 46 , 46 , 46 , 46 , 46 ," 381,947,479 "," 394,015,745 "," 411,947,435 "," 439,376,424 ","473,356,408"," 41,873 "," 42,483 "," 43,147 "," 44,776 ","47,104"," 50,435 "," 51,926 "," 52,092 "," 54,324 ","57,853",,,,,,,,,
211051277,Kilsyth," 5,058 "," 5,063 "," 5,304 "," 5,389 ","5,430", 43 , 42 , 42 , 41 , 41 ," 255,705,441 "," 264,990,275 "," 284,297,739 "," 303,799,583 ","318,001,702"," 45,000 "," 46,724 "," 47,591 "," 49,591 ","51,353"," 50,555 "," 52,339 "," 53,601 "," 56,374 ","58,564",,,,,,,,,
211051278,Lilydale - Coldstream," 11,215 "," 11,198 "," 11,457 "," 11,549 ","11,566", 43 , 44 , 44 , 44 , 44 ," 612,025,363 "," 634,699,195 "," 649,132,682 "," 707,558,316 ","742,521,372"," 46,154 "," 47,064 "," 47,862 "," 49,666 ","52,006"," 54,572 "," 56,680 "," 56,658 "," 61,266 ","64,199",,,,,,,,,
211051279,Monbulk - Silvan," 3,433 "," 3,435 "," 3,497 "," 3,581 ","3,592", 45 , 45 , 46 , 46 , 46 ," 177,389,604 "," 186,524,785 "," 195,952,842 "," 207,316,498 ","213,512,520"," 42,331 "," 43,595 "," 44,915 "," 46,045 ","48,222"," 51,672 "," 54,301 "," 56,035 "," 57,893 ","59,441",,,,,,,,,
211051280,Montrose," 4,025 "," 4,052 "," 4,091 "," 4,146 ","4,102", 45 , 44 , 44 , 44 , 44 ," 231,166,491 "," 232,937,397 "," 239,882,414 "," 250,908,766 ","262,363,777"," 47,348 "," 47,831 "," 49,794 "," 51,060 ","53,267"," 57,433 "," 57,487 "," 58,637 "," 60,518 ","63,960",,,,,,,,,
211051281,Mooroolbark," 12,665 "," 12,808 "," 13,191 "," 13,446 ","13,601", 42 , 42 , 41 , 41 , 41 ," 664,297,641 "," 698,506,090 "," 740,347,525 "," 783,095,575 ","822,290,059"," 46,083 "," 48,261 "," 49,058 "," 50,593 ","52,876"," 52,451 "," 54,537 "," 56,125 "," 58,240 ","60,458",,,,,,,,,
211051282,Mount Dandenong - Olinda," 6,004 "," 6,032 "," 6,087 "," 6,098 ","6,085", 48 , 48 , 48 , 48 , 48 ," 369,260,522 "," 374,985,273 "," 380,525,366 "," 393,229,299 ","406,680,978"," 46,304 "," 47,550 "," 48,432 "," 49,421 ","51,924"," 61,502 "," 62,166 "," 62,514 "," 64,485 ","66,833",,,,,,,,,
211051283,Mount Evelyn," 5,664 "," 5,646 "," 5,834 "," 5,871 ","5,976", 43 , 43 , 43 , 43 , 43 ," 293,838,781 "," 306,361,801 "," 320,998,500 "," 337,388,536 ","355,993,575"," 45,116 "," 47,502 "," 47,003 "," 49,054 ","51,498"," 51,878 "," 54,262 "," 55,022 "," 57,467 ","59,571",,,,,,,,,
211051284,Upwey - Tecoma," 6,001 "," 5,991 "," 6,163 "," 6,205 ","6,287", 44 , 44 , 44 , 44 , 44 ," 334,597,844 "," 344,386,758 "," 363,248,522 "," 379,634,045 ","401,381,161"," 48,119 "," 49,574 "," 51,408 "," 53,054 ","55,406"," 55,757 "," 57,484 "," 58,940 "," 61,182 ","63,843",,,,,,,,,
211051285,Wandin - Seville," 4,596 "," 4,730 "," 4,856 "," 4,920 ","5,021", 44 , 45 , 45 , 44 , 44 ," 250,117,440 "," 262,544,577 "," 275,906,552 "," 294,465,454 ","313,123,123"," 44,475 "," 45,401 "," 47,013 "," 50,071 ","51,657"," 54,421 "," 55,506 "," 56,818 "," 59,851 ","62,363",,,,,,,,,
211051286,Yarra Valley," 8,664 "," 8,777 "," 8,968 "," 9,165 ","9,341", 45 , 45 , 45 , 45 , 45 ," 400,834,760 "," 419,578,810 "," 442,863,587 "," 472,172,381 ","495,455,387"," 40,227 "," 41,783 "," 43,275 "," 45,106 ","46,606"," 46,264 "," 47,804 "," 49,383 "," 51,519 ","53,041",,,,,,,,,
212011287,Beaconsfield - Officer," 6,835 "," 7,844 "," 9,147 "," 10,481 ","11,922", 41 , 41 , 39 , 39 , 38 ," 408,075,646 "," 471,379,729 "," 557,231,732 "," 668,889,949 ","769,755,703"," 50,031 "," 51,117 "," 52,486 "," 54,964 ","56,718"," 59,704 "," 60,094 "," 60,920 "," 63,819 ","64,566",,,,,,,,,
212011288,Bunyip - Garfield," 4,937 "," 5,022 "," 5,195 "," 5,411 ","5,567", 46 , 46 , 46 , 46 , 45 ," 251,733,274 "," 262,357,884 "," 278,294,338 "," 300,653,415 ","325,057,688"," 42,001 "," 42,808 "," 44,303 "," 46,667 ","48,943"," 50,989 "," 52,242 "," 53,570 "," 55,563 ","58,390",,,,,,,,,
212011289,Emerald - Cockatoo," 10,586 "," 10,600 "," 10,803 "," 10,939 ","11,140", 45 , 45 , 45 , 45 , 45 ," 608,178,473 "," 623,301,823 "," 648,608,037 "," 686,322,951 ","716,877,715"," 46,246 "," 46,956 "," 48,793 "," 51,277 ","52,792"," 57,451 "," 58,802 "," 60,040 "," 62,741 ","64,352",,,,,,,,,
212011290,Koo Wee Rup," 3,912 "," 4,109 "," 4,311 "," 4,514 ","4,848", 44 , 43 , 43 , 43 , 42 ," 190,663,396 "," 209,408,142 "," 226,551,699 "," 237,579,860 ","268,607,499"," 41,052 "," 43,407 "," 44,652 "," 46,281 ","48,999"," 48,738 "," 50,963 "," 52,552 "," 52,632 ","55,406",,,,,,,,,
212011291,Pakenham - North," 9,037 "," 9,876 "," 10,443 "," 11,074 ","11,529", 36 , 36 , 36 , 36 , 36 ," 455,424,074 "," 506,875,285 "," 548,264,538 "," 599,849,694 ","650,072,404"," 46,228 "," 47,690 "," 48,702 "," 50,151 ","52,165"," 50,395 "," 51,324 "," 52,501 "," 54,167 ","56,386",,,,,,,,,
212011292,Pakenham - South," 13,936 "," 14,497 "," 15,355 "," 16,176 ","16,821", 38 , 38 , 38 , 38 , 38 ," 707,786,182 "," 748,093,543 "," 799,627,859 "," 869,640,481 ","928,435,372"," 46,453 "," 47,375 "," 47,372 "," 48,516 ","50,193"," 50,788 "," 51,603 "," 52,076 "," 53,761 ","55,195",,,,,,,,,
212021293,Berwick - North," 13,520 "," 13,653 "," 13,852 "," 14,035 ","14,015", 45 , 45 , 45 , 46 , 46 ," 828,140,086 "," 850,265,549 "," 872,312,855 "," 917,686,919 ","946,062,133"," 47,926 "," 49,000 "," 49,083 "," 51,353 ","53,002"," 61,253 "," 62,277 "," 62,974 "," 65,386 ","67,504",,,,,,,,,
212021294,Berwick - South," 13,547 "," 14,172 "," 14,686 "," 15,269 ","15,969", 41 , 40 , 41 , 41 , 41 ," 766,855,330 "," 828,462,688 "," 872,510,925 "," 956,695,230 ","1,005,201,746"," 49,283 "," 50,581 "," 51,645 "," 52,611 ","53,890"," 56,607 "," 58,458 "," 59,411 "," 62,656 ","62,947",,,,,,,,,
212021295,Doveton," 4,460 "," 4,786 "," 5,048 "," 5,280 ","5,485", 37 , 36 , 36 , 36 , 36 ," 179,370,463 "," 193,461,118 "," 207,347,758 "," 226,125,231 ","243,165,787"," 38,137 "," 37,815 "," 38,878 "," 40,209 ","42,311"," 40,218 "," 40,422 "," 41,075 "," 42,827 ","44,333",,,,,,,,,
212021297,Hallam," 5,339 "," 5,459 "," 5,515 "," 5,680 ","5,791", 41 , 40 , 40 , 40 , 39 ," 245,349,310 "," 255,971,187 "," 267,843,979 "," 276,718,018 ","287,522,045"," 41,818 "," 42,532 "," 43,385 "," 44,062 ","44,234"," 45,954 "," 46,890 "," 48,566 "," 48,718 ","49,650",,,,,,,,,
212021299,Narre Warren North," 4,804 "," 4,915 "," 5,079 "," 5,084 ","5,159", 46 , 46 , 46 , 46 , 47 ," 320,071,304 "," 334,943,079 "," 353,619,346 "," 390,922,955 ","387,780,437"," 46,929 "," 49,513 "," 50,080 "," 52,262 ","53,639"," 66,626 "," 68,147 "," 69,624 "," 76,893 ","75,166",,,,,,,,,
212021453,Endeavour Hills - North," 6,387 "," 6,501 "," 6,486 "," 6,716 ","6,753", 42 , 42 , 42 , 42 , 41 ," 333,510,465 "," 347,213,922 "," 351,175,321 "," 370,837,178 ","377,032,407"," 44,305 "," 45,610 "," 46,517 "," 47,811 ","48,873"," 52,217 "," 53,409 "," 54,144 "," 55,217 ","55,832",,,,,,,,,
212021454,Endeavour Hills - South," 7,565 "," 7,683 "," 7,687 "," 7,823 ","7,785", 42 , 42 , 42 , 42 , 42 ," 367,102,047 "," 389,724,955 "," 395,095,392 "," 408,843,586 ","415,614,307"," 43,174 "," 44,408 "," 45,339 "," 46,427 ","47,321"," 48,526 "," 50,726 "," 51,398 "," 52,262 ","53,387",,,,,,,,,
212021455,Narre Warren - North East," 7,382 "," 7,593 "," 7,736 "," 7,890 ","7,998", 42 , 42 , 42 , 41 , 41 ," 371,190,901 "," 393,546,778 "," 401,801,577 "," 428,478,870 ","445,488,668"," 45,476 "," 46,429 "," 46,930 "," 48,869 ","50,238"," 50,283 "," 51,830 "," 51,939 "," 54,307 ","55,700",,,,,,,,,
212021456,Narre Warren - South West," 7,191 "," 7,319 "," 7,522 "," 7,806 ","8,031", 40 , 39 , 39 , 38 , 38 ," 339,891,236 "," 354,105,961 "," 370,260,764 "," 389,604,192 ","411,023,591"," 44,571 "," 45,562 "," 46,024 "," 46,712 ","47,749"," 47,266 "," 48,382 "," 49,224 "," 49,911 ","51,180",,,,,,,,,
212031300,Cranbourne," 10,044 "," 10,489 "," 10,563 "," 10,852 ","11,063", 40 , 39 , 39 , 38 , 38 ," 464,287,794 "," 495,211,290 "," 506,472,450 "," 537,786,695 ","563,395,009"," 43,440 "," 44,122 "," 45,153 "," 46,576 ","48,067"," 46,225 "," 47,212 "," 47,948 "," 49,556 ","50,926",,,,,,,,,
212031301,Cranbourne East," 10,417 "," 13,256 "," 17,511 "," 21,261 ","25,862", 35 , 35 , 35 , 36 , 36 ," 538,207,320 "," 703,025,851 "," 954,342,319 "," 1,182,099,055 ","1,481,868,147"," 48,778 "," 49,991 "," 50,947 "," 51,548 ","52,844"," 51,666 "," 53,035 "," 54,500 "," 55,599 ","57,299",,,,,,,,,
212031302,Cranbourne North," 9,868 "," 10,583 "," 11,463 "," 12,273 ","12,900", 37 , 37 , 37 , 37 , 38 ," 491,986,928 "," 538,370,972 "," 599,650,093 "," 660,722,424 ","714,432,183"," 46,554 "," 47,344 "," 48,130 "," 49,514 ","50,912"," 49,857 "," 50,871 "," 52,312 "," 53,835 ","55,382",,,,,,,,,
212031303,Cranbourne South," 5,024 "," 5,234 "," 5,620 "," 6,225 ","7,413", 42 , 42 , 42 , 41 , 39 ," 287,848,696 "," 309,218,158 "," 340,277,786 "," 387,851,027 ","467,874,577"," 47,704 "," 49,156 "," 50,678 "," 53,619 ","55,440"," 57,295 "," 59,079 "," 60,548 "," 62,305 ","63,115",,,,,,,,,
212031304,Cranbourne West," 6,931 "," 8,054 "," 9,049 "," 9,712 ","10,528", 35 , 35 , 35 , 35 , 36 ," 340,292,591 "," 404,967,488 "," 463,063,977 "," 508,345,098 ","564,456,340"," 47,241 "," 48,301 "," 48,956 "," 49,496 ","50,591"," 49,097 "," 50,282 "," 51,173 "," 52,342 ","53,615",,,,,,,,,
212031305,Hampton Park - Lynbrook," 12,363 "," 12,638 "," 12,832 "," 13,309 ","13,531", 39 , 39 , 39 , 38 , 38 ," 554,683,010 "," 575,496,749 "," 594,835,377 "," 635,755,566 ","667,664,017"," 42,777 "," 43,352 "," 44,183 "," 45,462 ","47,257"," 44,866 "," 45,537 "," 46,356 "," 47,769 ","49,343",,,,,,,,,
212031306,Lynbrook - Lyndhurst," 7,927 "," 8,309 "," 8,733 "," 9,145 ","9,537", 38 , 38 , 38 , 38 , 38 ," 422,436,473 "," 452,472,447 "," 499,402,520 "," 518,901,941 ","554,016,945"," 49,000 "," 49,927 "," 50,336 "," 51,352 ","52,114"," 53,291 "," 54,456 "," 57,186 "," 56,742 ","58,091",,,,,,,,,
212031308,Pearcedale - Tooradin," 4,492 "," 4,574 "," 4,680 "," 4,719 ","4,796", 45 , 44 , 45 , 44 , 45 ," 235,891,702 "," 248,425,184 "," 260,792,998 "," 278,635,417 ","296,872,209"," 45,158 "," 46,393 "," 47,881 "," 49,975 ","52,929"," 52,514 "," 54,312 "," 55,725 "," 59,045 ","61,900",,,,,,,,,
212031457,Narre Warren South (East)," 7,320 "," 7,487 "," 7,631 "," 7,765 ","7,910", 43 , 43 , 43 , 43 , 43 ," 405,385,010 "," 426,367,813 "," 441,791,849 "," 459,976,581 ","474,851,570"," 47,132 "," 47,372 "," 48,581 "," 49,704 ","50,794"," 55,380 "," 56,948 "," 57,894 "," 59,237 ","60,032",,,,,,,,,
212031458,Narre Warren South (West)," 8,535 "," 8,668 "," 8,871 "," 9,029 ","9,115", 40 , 40 , 40 , 40 , 40 ," 428,510,734 "," 448,513,352 "," 460,072,072 "," 477,537,748 ","491,076,851"," 45,798 "," 46,568 "," 46,509 "," 47,731 ","49,029"," 50,206 "," 51,744 "," 51,862 "," 52,889 ","53,876",,,,,,,,,
212041309,Clarinda - Oakleigh South," 6,478 "," 6,540 "," 6,638 "," 6,748 ","6,664", 43 , 43 , 42 , 42 , 42 ," 319,761,354 "," 332,848,137 "," 343,738,645 "," 360,067,736 ","376,860,670"," 42,936 "," 44,289 "," 45,207 "," 46,330 ","48,624"," 49,361 "," 50,894 "," 51,783 "," 53,359 ","56,552",,,,,,,,,
212041310,Clayton South," 6,665 "," 6,734 "," 7,015 "," 7,438 ","7,807", 35 , 36 , 35 , 35 , 35 ," 290,343,930 "," 301,962,619 "," 320,476,998 "," 352,153,599 ","379,483,988"," 39,225 "," 40,003 "," 40,149 "," 40,706 ","41,948"," 43,562 "," 44,841 "," 45,685 "," 47,345 ","48,608",,,,,,,,,
212041311,Dandenong," 13,115 "," 14,013 "," 14,768 "," 15,550 ","15,915", 35 , 35 , 35 , 35 , 35 ," 538,808,532 "," 577,269,452 "," 627,663,472 "," 687,392,172 ","730,619,563"," 37,000 "," 36,587 "," 37,323 "," 39,276 ","40,965"," 41,083 "," 41,195 "," 42,502 "," 44,205 ","45,908",,,,,,,,,
212041312,Dandenong North," 11,017 "," 11,237 "," 11,533 "," 11,739 ","12,036", 41 , 40 , 40 , 40 , 39 ," 493,476,756 "," 511,621,274 "," 542,429,976 "," 571,951,343 ","602,649,475"," 40,496 "," 40,885 "," 41,992 "," 43,163 ","45,046"," 44,792 "," 45,530 "," 47,033 "," 48,722 ","50,071",,,,,,,,,
212041313,Dingley Village," 6,314 "," 6,353 "," 6,421 "," 6,440 ","6,475", 47 , 46 , 47 , 47 , 46 ," 353,035,064 "," 362,847,818 "," 376,434,346 "," 387,504,664 ","403,524,190"," 46,209 "," 47,779 "," 48,051 "," 49,812 ","51,882"," 55,913 "," 57,114 "," 58,626 "," 60,172 ","62,320",,,,,,,,,
212041314,Keysborough," 13,170 "," 14,172 "," 15,103 "," 15,902 ","16,704", 40 , 40 , 40 , 39 , 39 ," 663,067,461 "," 730,482,669 "," 800,315,380 "," 887,691,443 ","929,506,059"," 44,100 "," 45,379 "," 46,015 "," 47,046 ","47,768"," 50,347 "," 51,544 "," 52,990 "," 55,823 ","55,646",,,,,,,,,
212041316,Noble Park North," 3,723 "," 3,761 "," 3,821 "," 3,896 ","4,012", 42 , 41 , 41 , 41 , 40 ," 169,657,979 "," 174,358,563 "," 181,143,989 "," 189,674,622 ","198,841,399"," 42,282 "," 42,670 "," 43,704 "," 45,231 ","45,550"," 45,570 "," 46,360 "," 47,407 "," 48,684 ","49,562",,,,,,,,,
212041317,Springvale," 9,720 "," 10,284 "," 10,891 "," 11,595 ","12,210", 36 , 36 , 36 , 35 , 35 ," 387,976,462 "," 412,127,989 "," 440,453,283 "," 488,602,565 ","525,243,101"," 35,544 "," 35,313 "," 35,369 "," 36,924 ","37,720"," 39,915 "," 40,075 "," 40,442 "," 42,139 ","43,017",,,,,,,,,
212041318,Springvale South," 6,093 "," 6,346 "," 6,405 "," 6,708 ","6,900", 39 , 38 , 39 , 38 , 38 ," 251,502,250 "," 267,349,552 "," 273,985,932 "," 294,539,070 ","307,577,227"," 37,869 "," 38,627 "," 39,649 "," 40,359 ","41,632"," 41,277 "," 42,129 "," 42,777 "," 43,909 ","44,576",,,,,,,,,
212041459,Noble Park - East," 6,085 "," 6,402 "," 6,691 "," 7,065 ","7,417", 35 , 35 , 35 , 35 , 34 ," 258,291,013 "," 280,436,875 "," 293,898,568 "," 318,704,321 ","345,098,912"," 40,519 "," 41,475 "," 41,184 "," 41,703 ","43,390"," 42,447 "," 43,805 "," 43,924 "," 45,110 ","46,528",,,,,,,,,
212041460,Noble Park - West," 8,660 "," 8,959 "," 9,388 "," 9,992 ","10,508", 38 , 37 , 37 , 36 , 36 ," 353,063,381 "," 375,722,419 "," 394,437,148 "," 431,105,973 ","464,136,260"," 37,973 "," 39,216 "," 39,231 "," 39,918 ","40,731"," 40,769 "," 41,938 "," 42,015 "," 43,145 ","44,170",,,,,,,,,
212051319,Ashwood - Chadstone," 9,944 "," 10,195 "," 10,858 "," 11,290 ","11,715", 39 , 39 , 39 , 39 , 38 ," 575,632,084 "," 611,351,509 "," 656,520,906 "," 706,347,697 ","753,816,599"," 46,336 "," 47,663 "," 47,564 "," 49,496 ","50,605"," 57,887 "," 59,966 "," 60,464 "," 62,564 ","64,346",,,,,,,,,
212051320,Clayton," 8,976 "," 8,989 "," 9,572 "," 10,357 ","11,056", 33 , 33 , 33 , 32 , 31 ," 399,952,571 "," 412,431,273 "," 433,561,003 "," 462,151,302 ","489,690,526"," 36,577 "," 36,648 "," 35,296 "," 34,178 ","33,446"," 44,558 "," 45,882 "," 45,295 "," 44,622 ","44,292",,,,,,,,,
212051321,Glen Waverley - East," 12,677 "," 12,609 "," 12,978 "," 13,332 ","13,505", 47 , 47 , 47 , 46 , 46 ," 726,498,527 "," 725,998,205 "," 740,166,272 "," 774,344,803 ","809,886,338"," 41,163 "," 40,853 "," 40,000 "," 40,903 ","41,614"," 57,308 "," 57,578 "," 57,032 "," 58,082 ","59,969",,,,,,,,,
212051322,Glen Waverley - West," 10,991 "," 11,123 "," 11,497 "," 12,016 ","12,548", 45 , 45 , 45 , 44 , 44 ," 603,877,342 "," 622,599,323 "," 646,237,818 "," 690,464,878 ","729,110,296"," 41,555 "," 41,681 "," 40,629 "," 41,184 ","42,153"," 54,943 "," 55,974 "," 56,209 "," 57,462 ","58,106",,,,,,,,,
212051323,Mount Waverley - North," 9,247 "," 9,355 "," 9,666 "," 9,961 ","10,220", 47 , 47 , 47 , 46 , 45 ," 558,859,720 "," 576,524,005 "," 599,556,896 "," 625,123,741 ","672,191,673"," 44,475 "," 44,025 "," 44,434 "," 44,299 ","46,068"," 60,437 "," 61,627 "," 62,027 "," 62,757 ","65,772",,,,,,,,,
212051324,Mount Waverley - South," 10,821 "," 11,107 "," 11,519 "," 12,013 ","12,055", 45 , 45 , 44 , 44 , 44 ," 650,320,376 "," 683,574,546 "," 715,110,982 "," 767,431,421 ","801,323,430"," 45,798 "," 46,505 "," 46,393 "," 47,729 ","49,174"," 60,098 "," 61,544 "," 62,081 "," 63,883 ","66,472",,,,,,,,,
212051325,Mulgrave," 10,845 "," 10,859 "," 11,083 "," 11,246 ","11,496", 42 , 42 , 42 , 42 , 42 ," 587,583,774 "," 611,424,617 "," 634,255,888 "," 652,801,439 ","681,699,528"," 45,480 "," 46,947 "," 46,912 "," 48,369 ","49,274"," 54,180 "," 56,306 "," 57,228 "," 58,047 ","59,299",,,,,,,,,
212051326,Oakleigh - Huntingdale," 11,800 "," 12,092 "," 12,608 "," 13,203 ","13,624", 40 , 40 , 39 , 39 , 39 ," 659,025,303 "," 696,090,278 "," 741,164,569 "," 800,134,455 ","853,123,995"," 47,702 "," 48,157 "," 49,202 "," 50,111 ","51,092"," 55,850 "," 57,566 "," 58,785 "," 60,602 ","62,619",,,,,,,,,
212051327,Wheelers Hill," 12,253 "," 12,192 "," 12,383 "," 12,708 ","12,805", 48 , 48 , 48 , 48 , 48 ," 775,549,368 "," 783,466,522 "," 795,365,969 "," 849,907,774 ","878,551,465"," 45,109 "," 45,732 "," 45,197 "," 45,504 ","46,840"," 63,295 "," 64,261 "," 64,230 "," 66,880 ","68,610",,,,,,,,,
213011328,Ardeer - Albion," 3,763 "," 3,976 "," 4,057 "," 4,223 ","4,479", 35 , 35 , 35 , 35 , 35 ," 166,770,269 "," 180,385,678 "," 189,213,702 "," 206,150,361 ","224,299,173"," 40,573 "," 41,249 "," 41,578 "," 43,579 ","44,333"," 44,318 "," 45,369 "," 46,639 "," 48,816 ","50,078",,,,,,,,,
213011329,Cairnlea," 5,022 "," 5,211 "," 5,349 "," 5,453 ","5,567", 40 , 40 , 40 , 40 , 40 ," 252,209,637 "," 267,614,791 "," 278,896,581 "," 296,596,532 ","303,235,465"," 44,837 "," 45,930 "," 46,480 "," 47,564 ","48,507"," 50,221 "," 51,356 "," 52,140 "," 54,391 ","54,470",,,,,,,,,
213011330,Deer Park - Derrimut," 12,680 "," 12,991 "," 13,437 "," 13,717 ","14,083", 37 , 37 , 37 , 37 , 37 ," 619,148,138 "," 654,197,654 "," 684,619,608 "," 721,985,221 ","759,999,250"," 45,794 "," 46,737 "," 46,765 "," 48,045 ","49,400"," 48,829 "," 50,358 "," 50,950 "," 52,634 ","53,966",,,,,,,,,
213011331,Delahey," 4,273 "," 4,372 "," 4,418 "," 4,440 ","4,551", 40 , 40 , 40 , 40 , 39 ," 197,108,758 "," 204,094,222 "," 212,961,080 "," 223,981,059 ","231,112,531"," 42,898 "," 43,764 "," 45,109 "," 46,529 ","47,704"," 46,129 "," 46,682 "," 48,203 "," 50,446 ","50,783",,,,,,,,,
213011332,Keilor Downs," 7,313 "," 7,362 "," 7,347 "," 7,368 ","7,466", 42 , 42 , 42 , 42 , 42 ," 365,945,065 "," 379,333,986 "," 388,836,903 "," 396,987,141 ","416,752,682"," 44,354 "," 45,343 "," 46,550 "," 46,823 ","48,481"," 50,040 "," 51,526 "," 52,925 "," 53,880 ","55,820",,,,,,,,,
213011333,Kings Park (Vicnp)," 5,979 "," 6,174 "," 6,253 "," 6,498 ","6,608", 39 , 39 , 39 , 39 , 39 ," 258,121,622 "," 270,087,484 "," 277,872,393 "," 298,751,964 ","305,458,502"," 41,211 "," 41,238 "," 41,394 "," 43,026 ","44,383"," 43,171 "," 43,746 "," 44,438 "," 45,976 ","46,226",,,,,,,,,
213011334,St Albans - North," 8,562 "," 9,077 "," 9,369 "," 9,936 ","10,444", 37 , 36 , 36 , 35 , 35 ," 343,885,321 "," 374,409,275 "," 390,861,514 "," 418,435,747 ","456,210,821"," 36,877 "," 37,273 "," 37,904 "," 37,761 ","39,148"," 40,164 "," 41,248 "," 41,719 "," 42,113 ","43,682",,,,,,,,,
213011335,St Albans - South," 7,476 "," 7,660 "," 7,982 "," 8,358 ","8,533", 37 , 37 , 36 , 36 , 36 ," 300,542,401 "," 313,947,009 "," 329,186,064 "," 358,358,343 ","370,912,781"," 36,628 "," 37,374 "," 37,108 "," 37,770 ","39,238"," 40,201 "," 40,985 "," 41,241 "," 42,876 ","43,468",,,,,,,,,
213011336,Sunshine," 4,838 "," 5,158 "," 5,306 "," 5,623 ","5,971", 36 , 36 , 35 , 35 , 35 ," 217,096,680 "," 235,083,680 "," 249,250,714 "," 272,886,155 ","299,258,602"," 38,264 "," 39,625 "," 40,008 "," 41,723 ","42,718"," 44,873 "," 45,577 "," 46,975 "," 48,530 ","50,119",,,,,,,,,
213011337,Sunshine North," 5,275 "," 5,505 "," 5,690 "," 6,024 ","6,314", 39 , 39 , 38 , 38 , 37 ," 221,915,310 "," 238,976,577 "," 251,242,392 "," 274,258,349 ","298,793,792"," 37,665 "," 38,648 "," 38,981 "," 40,282 ","41,568"," 42,069 "," 43,411 "," 44,155 "," 45,528 ","47,322",,,,,,,,,
213011338,Sunshine West," 8,477 "," 8,857 "," 9,172 "," 9,589 ","9,833", 38 , 37 , 37 , 37 , 37 ," 377,323,142 "," 399,440,328 "," 424,313,959 "," 460,025,178 ","483,082,838"," 40,675 "," 41,296 "," 41,970 "," 43,417 ","44,582"," 44,511 "," 45,099 "," 46,262 "," 47,974 ","49,129",,,,,,,,,
213011339,Sydenham," 6,435 "," 6,642 "," 6,718 "," 6,849 ","6,974", 39 , 39 , 39 , 39 , 39 ," 321,154,543 "," 338,573,524 "," 351,341,782 "," 369,493,404 ","387,143,533"," 45,280 "," 46,099 "," 46,909 "," 47,777 ","49,930"," 49,907 "," 50,975 "," 52,299 "," 53,949 ","55,512",,,,,,,,,
213011340,Taylors Lakes," 10,931 "," 11,214 "," 11,208 "," 11,238 ","11,001", 45 , 45 , 45 , 46 , 46 ," 616,096,205 "," 648,776,220 "," 668,507,556 "," 687,511,481 ","698,154,131"," 47,353 "," 48,719 "," 49,266 "," 51,181 ","53,445"," 56,362 "," 57,854 "," 59,646 "," 61,177 ","63,463",,,,,,,,,
213021341,Altona," 7,403 "," 7,610 "," 7,910 "," 7,942 ","8,061", 43 , 43 , 43 , 43 , 43 ," 448,054,168 "," 483,132,540 "," 516,868,678 "," 550,392,509 ","580,306,826"," 51,478 "," 53,532 "," 54,168 "," 57,585 ","60,433"," 60,523 "," 63,487 "," 65,344 "," 69,301 ","71,989",,,,,,,,,
213021342,Altona Meadows," 10,536 "," 10,578 "," 10,722 "," 10,827 ","10,928", 41 , 41 , 41 , 40 , 40 ," 548,561,493 "," 569,932,202 "," 593,825,718 "," 624,564,813 ","642,919,175"," 47,614 "," 49,358 "," 50,018 "," 52,072 ","53,710"," 52,065 "," 53,879 "," 55,384 "," 57,686 ","58,832",,,,,,,,,
213021343,Altona North," 6,416 "," 6,665 "," 7,036 "," 7,324 ","7,539", 39 , 38 , 38 , 38 , 38 ," 345,612,998 "," 377,447,668 "," 413,208,226 "," 449,624,915 ","493,062,953"," 47,000 "," 49,643 "," 51,219 "," 53,368 ","56,991"," 53,867 "," 56,631 "," 58,728 "," 61,391 ","65,402",,,,,,,,,
