address,price,beds,baths,parking,propertyTypeFormatted
DANDENONG 2/24 Power Street VIC 3175,$399,3,2,2,Apartment / Unit / Flat
MELBOURNE 3510/442 Elizabeth St VIC 3000,$680,2,1,0,Apartment / Unit / Flat
DOCKLANDS 1209/8 Pearl River Rd VIC 3008,$420,1,1,0,Apartment / Unit / Flat
CANTERBURY 2/42 Hopetoun Avenue VIC 3126,"$650pw/$2,824pcm",3,1,2,Apartment / Unit / Flat
MELBOURNE 9/15 Rankins Lane VIC 3000,$900.00 per week,2,2,0,Apartment / Unit / Flat
BRUNSWICK 7/213-219 Brunswick Road VIC 3056,$625,2,2,1,Apartment / Unit / Flat
MELBOURNE 2205/22-24 Jane Bell Lane VIC 3000,$550,2,1,0,Apartment / Unit / Flat
SOUTH YARRA 4/209 Domain Road VIC 3141,$575 per week,2,1,1,Apartment / Unit / Flat
MCKINNON 8/66 Bent Street VIC 3204,$495.00,2,2,1,Apartment / Unit / Flat
DOCKLANDS 1811/8 Marmion Pl VIC 3008,$480,1,1,1,Apartment / Unit / Flat
GLENROY 4/48 William Street VIC 3046,$380 per week,2,1,1,Apartment / Unit / Flat
ST KILDA 2/52 Alma Road VIC 3182,$330,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 2003/7 Yarra Street VIC 3141,$425 per week,1,1,0,Apartment / Unit / Flat
BRUNSWICK EAST 401/269 Stewart Street VIC 3057,$650.00,2,2,1,Apartment / Unit / Flat
CARNEGIE 3/16 Oakleigh Road VIC 3163,$450 per week,2,1,1,Apartment / Unit / Flat
KOOYONG 7/717 Toorak Road VIC 3144,"$1,100.00",3,2,2,Apartment / Unit / Flat
SOUTH YARRA 7/38A Kensington Road VIC 3141,$525 Per Week,2,1,1,Apartment / Unit / Flat
PRAHRAN 716/15 Clifton Street VIC 3181,$500 Per Week,2,1,1,Apartment / Unit / Flat
ELSTERNWICK 222/138 Glen Eira Road VIC 3185,$550 weekly,2,2,1,Apartment / Unit / Flat
PORT MELBOURNE 402/49 Beach Street VIC 3207,$940 weekly,2,2,2,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
RICHMOND 511/2 McGoun Street VIC 3121,$550 per week,2,2,1,Apartment / Unit / Flat
ST KILDA EAST 2/47 Gourlay Street VIC 3183,$345 per week,2,1,1,Apartment / Unit / Flat
ST KILDA 205/44 Barkly Street VIC 3182,$260 per week,1,1,1,Studio
MELBOURNE 2201/288 Spencer Street VIC 3000,$400,1,1,0,Apartment / Unit / Flat
CAULFIELD 16/667 Glenhuntly Road VIC 3162,$450 per week,2,1,1,Apartment / Unit / Flat
GLEN IRIS 1.07/281 Tooronga Road VIC 3146,$595 per week,2,2,1,Apartment / Unit / Flat
CAULFIELD NORTH 4/14 Narong Road VIC 3161,$570 per week,2,1,2,Apartment / Unit / Flat
MALVERN EAST 6/919 Dandenong Road VIC 3145,$365 per week,1,1,1,Apartment / Unit / Flat
ST KILDA 206/126 Chapel Street VIC 3182,$450.00,1,1,1,Apartment / Unit / Flat
ELSTERNWICK 5/39 Nepean Highway VIC 3185,$430 pw,2,1,1,Apartment / Unit / Flat
KOOYONG 2/11 Mernda Road VIC 3144,$550 Per Week,3,1,0,Apartment / Unit / Flat
MELBOURNE 2004/288 Spencer Street VIC 3000,$360 Per Week,1,1,0,Apartment / Unit / Flat
PRAHRAN 101/6 Percy Place VIC 3181,$490.00,1,1,1,Apartment / Unit / Flat
TOORAK 5/1 St Georges Road VIC 3142,$280.00,1,1,0,Apartment / Unit / Flat
CAULFIELD NORTH 1/17 Sebastopol Street VIC 3161,$650 pw,2,2,2,Apartment / Unit / Flat
NORTH MELBOURNE 315/188 Peel Street VIC 3051,$310 per week,1,1,0,Apartment / Unit / Flat
EAST MELBOURNE 104/150 Clarendon Street VIC 3002,$950.00 per week,1,1,1,Apartment / Unit / Flat
WEST MELBOURNE 201/65 Dudley Street VIC 3003,$420 per Week,1,1,0,Apartment / Unit / Flat
RICHMOND 604/8 Burnley Street VIC 3121,$600 per week,2,2,2,Apartment / Unit / Flat
ELWOOD 2/24 Tennyson Street VIC 3184,$420 weekly,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
BOX HILL 19/16-18 Poplar Street VIC 3128,$230,1,1,0,Apartment / Unit / Flat
MELBOURNE 405/15 Queens Road VIC 3004,$550.00,2,2,1,Apartment / Unit / Flat
IVANHOE 108/56 Myrtle Street VIC 3079,$385,1,1,1,Apartment / Unit / Flat
ARMADALE 4/597 Orrong Road VIC 3143,$400.00,1,1,1,Apartment / Unit / Flat
SANDRINGHAM 6/36 Edward Street VIC 3191,$410.00,2,1,1,Apartment / Unit / Flat
CARNEGIE 9/1264 Glen Huntly Road VIC 3163,$340 weekly,1,1,1,Apartment / Unit / Flat
RICHMOND 13/160 Coppin Street VIC 3121,$330 per week,1,1,1,Apartment / Unit / Flat
WINDSOR 8/13 Lewisham Road VIC 3181,$475 per week,2,1,0,Apartment / Unit / Flat
KOOYONG 3/459 Glenferrie Road VIC 3144,$660.00,2,1,1,Apartment / Unit / Flat
CAULFIELD NORTH 4/60 Eskdale Road VIC 3161,$575.00,3,1,0,Apartment / Unit / Flat
ST KILDA 312/196 St Kilda Road VIC 3182,$450.00,2,1,1,Apartment / Unit / Flat
ST KILDA 24/3 Herbert Street VIC 3182,$350.00,1,1,0,Apartment / Unit / Flat
ELWOOD 3/97 Spray Street VIC 3184,$450.00,2,1,1,Apartment / Unit / Flat
HAWTHORN 309/17 Lynch Street VIC 3122,$495.00,2,2,1,Apartment / Unit / Flat
HAWTHORN 8/5 Glenroy Road VIC 3122,$450 weekly,2,1,1,Apartment / Unit / Flat
CARNEGIE 3/27 Coorigil Rd VIC 3163,$420 weekly,2,1,2,Apartment / Unit / Flat
HAWTHORN EAST 3/866 Toorak Road VIC 3123,$430 per week,1,1,1,Apartment / Unit / Flat
KEW 3/17 Pakington Street VIC 3101,$850.00,3,2,2,Apartment / Unit / Flat
SOUTH KINGSVILLE 1/16 Vernon Street VIC 3015,$475.00 per week,2,1,1,Apartment / Unit / Flat
HAWTHORN EAST 7/50 Leura Grove VIC 3123,$430.00,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
MELBOURNE 101/25-33 Wills Street VIC 3000,$400,1,1,0,Apartment / Unit / Flat
CARNEGIE 9/55 Blackwood Street VIC 3163,$295 weekly,1,1,1,Apartment / Unit / Flat
MELBOURNE 18e/481 St Kilda Road VIC 3004,$2800 Per Week,3,3,2,Apartment / Unit / Flat
GLEN IRIS 2/5 Ellis Road VIC 3146,$695.00,3,2,1,Apartment / Unit / Flat
SURREY HILLS 1/15 Union Road VIC 3127,$560pw/$2.433pcm,3,2,1,Apartment / Unit / Flat
SOUTH YARRA 2C/381 Toorak Road VIC 3141,$ 480 Per Week,2,2,1,Apartment / Unit / Flat
BALWYN 4/48 Weir Street VIC 3103,$470 per week,1,1,0,Apartment / Unit / Flat
ALTONA 10/3 Robin Street VIC 3018,$280.00,2,1,1,Apartment / Unit / Flat
BRIGHTON EAST 5/661-663 Nepean Highway VIC 3187,$470.00,2,1,1,Apartment / Unit / Flat
HAWTHORN EAST 2/841 Toorak Road VIC 3123,$570,3,1,1,Apartment / Unit / Flat
MELBOURNE 1211/200 Spencer Street VIC 3000,$480 per week,1,1,1,Apartment / Unit / Flat
MELBOURNE 1901/368 St Kilda Road VIC 3000,$1800 Per Week,3,2,2,Apartment / Unit / Flat
BRUNSWICK 504/2-6 Duckett Street VIC 3056,$480 per week,1,1,1,Apartment / Unit / Flat
KEW 6/103 Walpole Street VIC 3101,$435.00,2,1,1,Apartment / Unit / Flat
COBURG 8/7-9 Bell Street VIC 3058,$420.00,2,2,1,Apartment / Unit / Flat
ARMADALE 24/6-8 Avondale Road VIC 3143,$400.00,2,1,0,Apartment / Unit / Flat
GLEN IRIS G03/1457 High Street VIC 3146,$725.00,2,2,2,Apartment / Unit / Flat
MELBOURNE 2905B/11 Rose Lane VIC 3000,$575 per week,2,1,1,Apartment / Unit / Flat
BOX HILL 204/2-4 Kent Road VIC 3128,$450,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 1807/2 Claremont Street VIC 3141,$630.00,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
BRUNSWICK WEST 601/5 Olive York Way VIC 3055,$430 per week,2,1,1,Apartment / Unit / Flat
COLLINGWOOD 105/88 Cambridge Street VIC 3066,$500 per week,1,1,1,Apartment / Unit / Flat
FOOTSCRAY 1102/6 Joseph Road VIC 3011,$550 per week,2,2,1,Apartment / Unit / Flat
