,2015,2016,2017,2018,2019,prelim 2020
locality,Median,Median,Median,Median,Median,Median
KYNETON,325000,360500,389000,408000,420000,425000
LAKE WENDOUREE,305000,313000,362500,442500,473500,459500
LAKES ENTRANCE,250000,252500,265000,257000,220000,330000
LALOR,327000,375500,440500,430000,442000,500000
LANGWARRIN,316500,356500,431000,460000,450500,457500
LARA,300000,294000,320000,353000,377500,319000
LARA LAKE,285000,267000,312500,355000,379000,467500
LAVERTON,374000,415000,414500,445000,505000,550000
LAVERTON SOUTH,361000,370000,437000,480000,468000,495000
LEONGATHA,292500,276000,267500,265000,247500,339000
LEOPOLD,285000,308000,308500,360000,391500,399000
LILYDALE,400000,440000,464000,525500,500000,525000
LONG GULLY,230000,239000,233000,250000,255000,230000
LONGWARRY,252500,270500,308000,347500,330000,375000
LORNE,755000,580000,390000,750000,815000,697500
LOWER PLENTY,491500,564000,560000,517500,545000,662000
LYNBROOK,370000,421000,450000,244000,535000,535000
MACLEOD,554000,543500,651500,636500,655000,749500
MADDINGLEY,288000,299000,316500,379000,365000,402500
MAFFRA,214000,227000,225000,205000,220000,305000
MAIDSTONE,482500,500000,600000,600000,575000,635000
MALVERN,668500,649000,751500,715000,720000,650000
MALVERN EAST,589500,658500,625000,628500,633500,641000
MANIFOLD HEIGHTS,287000,262000,335000,360000,339000,350000
MANSFIELD,275000,200000,247500,334000,340000,376000
MARIBYRNONG,459000,460000,487000,462500,510000,467000
MARYBOROUGH,193500,219000,215000,227500,208000,227500
MCCRAE,490000,607500,682000,690000,700000,625000
MCKINNON,687000,661500,747500,780000,785000,831000
MEADOW HEIGHTS,285000,300000,350000,400000,376500,401000
MELBOURNE,560000,534000,518500,515000,474000,470000
MELTON,225000,230000,274500,317000,314000,322500
MELTON SOUTH,221500,230000,280000,320000,299500,310000
MELTON WEST,257500,275000,350000,385000,362000,398500
MENTONE,475000,550000,558000,570000,600000,605000
MERNDA,315000,317500,355000,385000,385500,385000
METUNG,311000,225000,212500,265000,292500,671000
MIDDLE PARK,780000,752000,760000,702500,735000,1155000
MILDURA,163000,182000,190000,225000,220000,200000
MILL PARK,382500,395000,440000,455500,444500,438000
MITCHAM,641000,677500,677500,675000,696000,689500
MOE,126000,137000,135000,133500,163000,123500
