SA2 name,2016pr,2017pr,Natural increase,Net internal migration,Net overseas migration,2016-2017%,2016-2017no.,km2,Population density 2017 persons/km2
Wandin - Seville,7917,7994,63,1,13,1.0,77,111.8,71.5
Yarra Valley,16640,16683,77,-69,35,0.3,43,729.8,22.9
Beaconsfield - Officer,13622,15451,240,1506,83,13.4,1829,41.2,375.2
Bunyip - Garfield,8896,8993,27,52,18,1.1,97,373.1,24.1
Emerald - Cockatoo,18686,18832,115,-9,40,0.8,146,371.6,50.7
Koo Wee Rup,7760,8060,49,236,15,3.9,300,409.4,19.7
Pakenham - North,19341,20532,345,724,122,6.2,1191,37.2,551.6
Pakenham - South,29485,30864,398,692,289,4.7,1379,49.8,620.3
Berwick - North,23870,24038,79,-155,244,0.7,168,19.7,1217.2
Berwick - South,26930,27787,339,199,319,3.2,857,14.9,1870.5
Doveton,11916,12104,115,-144,217,1.6,188,5.2,2330.7
Hallam,11383,11571,107,-127,208,1.7,188,8.1,1436.2
Narre Warren North,8082,8254,-19,143,48,2.1,172,34.4,239.9
Endeavour Hills - North,12525,12518,71,-179,101,-0.1,-7,14.5,864.8
Endeavour Hills - South,14061,14041,130,-314,164,-0.1,-20,5.6,2513.0
Narre Warren - North East,14091,14168,144,-193,126,0.5,77,4.9,2906.9
Narre Warren - South West,14661,14849,163,-204,229,1.3,188,9.3,1595.7
Cranbourne,20859,21096,265,-256,228,1.1,237,13.0,1619.4
Cranbourne East,26826,34164,614,6270,454,27.4,7338,42.9,796.5
Cranbourne North,20916,22418,402,819,281,7.2,1502,10.2,2189.4
Cranbourne South,9176,9452,68,170,38,3.0,276,81.7,115.7
Cranbourne West,15746,17202,373,872,211,9.2,1456,12.9,1333.7
Hampton Park - Lynbrook,26871,27214,375,-501,469,1.3,343,13.3,2039.7
Lynbrook - Lyndhurst,16166,16704,249,5,284,3.3,538,7.4,2270.2
Pearcedale - Tooradin,8038,8098,66,-16,10,0.7,60,98.5,82.2
Narre Warren South (East),13756,13851,121,-117,91,0.7,95,6.2,2226.7
Narre Warren South (West),17648,17851,218,-221,206,1.2,203,6.8,2634.1
Clarinda - Oakleigh South,12281,12307,42,-187,171,0.2,26,6.3,1946.5
Clayton South,13443,13633,158,-569,601,1.4,190,7.9,1717.4
Dandenong,32801,33453,398,-780,1034,2.0,652,61.8,541.1
Dandenong North,23728,23854,146,-389,369,0.5,126,9.5,2521.8
Dingley Village,10777,10810,32,-72,73,0.3,33,7.2,1492.3
Keysborough,27377,28649,230,625,417,4.6,1272,30.3,946.2
Noble Park North,7912,7946,50,-113,97,0.4,34,3.8,2114.8
Springvale,22953,23428,232,-584,827,2.1,475,11.1,2109.6
Springvale South,13285,13374,93,-322,318,0.7,89,4.6,2932.9
Noble Park - East,13184,13405,155,-390,456,1.7,221,3.8,3558.4
Noble Park - West,19712,20039,155,-358,530,1.7,327,4.8,4179.6
Ashwood - Chadstone,19310,19853,153,-81,471,2.8,543,6.7,2959.3
Clayton,23855,25505,88,-999,2561,6.9,1650,9.4,2710.1
Glen Waverley - East,22027,22136,54,-547,602,0.5,109,9.2,2415.4
Glen Waverley - West,20245,20493,46,-508,710,1.2,248,7.7,2669.8
Mount Waverley - North,16175,16317,31,-300,411,0.9,142,6.5,2516.5
Mount Waverley - South,19256,19577,53,-183,451,1.7,321,8.7,2250.1
Mulgrave,20526,20714,83,-262,367,0.9,188,10.7,1932.5
Oakleigh - Huntingdale,22537,23055,134,-301,685,2.3,518,10.2,2266.9
Wheelers Hill,20917,20997,-58,-134,272,0.4,80,10.4,2011.3
Ardeer - Albion,8151,8285,67,-168,235,1.6,134,4.6,1805.7
Cairnlea,10325,10539,97,18,99,2.1,214,4.4,2391.9
Deer Park - Derrimut,27772,28437,421,-201,445,2.4,665,21.3,1332.9
Delahey,8738,8738,47,-125,78,0.0,0,3.5,2492.7
Keilor Downs,14024,14014,100,-215,105,-0.1,-10,7.7,1829.6
Kings Park (Vic.),14769,14902,109,-161,185,0.9,133,4.4,3362.1
St Albans - North,21270,21634,236,-366,494,1.7,364,6.5,3316.8
St Albans - South,18352,18650,145,-266,419,1.6,298,6.3,2977.0
Sunshine,10256,10418,99,-260,323,1.6,162,4.7,2201.6
Sunshine North,12331,12532,77,-71,195,1.6,201,8.0,1561.8
Sunshine West,19657,20014,152,-94,299,1.8,357,13.0,1543.2
Sydenham,12682,12789,54,-211,264,0.8,107,3.9,3239.4
Taylors Lakes,18531,18494,81,-230,112,-0.2,-37,18.5,1001.7
Altona,13277,13511,77,19,138,1.8,234,17.7,764.0
Altona Meadows,20141,20344,120,-148,231,1.0,203,10.5,1930.2
Altona North,14724,14961,93,4,140,1.6,237,16.2,924.4
Newport,18484,18793,250,-138,197,1.7,309,8.8,2125.7
Seabrook,5439,5494,48,-63,70,1.0,55,1.6,3391.6
Williamstown,16277,16515,74,-31,195,1.5,238,7.3,2248.1
Braybrook,19384,19936,224,-207,535,2.8,552,7.5,2663.7
Footscray,17536,18206,99,-53,624,3.8,670,5.0,3665.4
Maribyrnong,12975,13460,136,-5,354,3.7,485,5.5,2450.2
Seddon - Kingsville,9709,9869,155,-113,118,1.6,160,1.7,5873.4
West Footscray - Tottenham,12152,12408,152,-217,321,2.1,256,6.0,2074.7
Yarraville,15599,15826,167,-113,173,1.5,227,5.6,2816.1
Bacchus Marsh,20992,21636,149,429,66,3.1,644,196.3,110.2
Hillside,21362,22964,325,1093,184,7.5,1602,66.5,345.1
Melton,19614,19872,217,-111,152,1.3,258,130.7,152.0
Melton South,24237,26449,317,1653,242,9.1,2212,111.0,238.4
Melton West,18266,19102,331,404,101,4.6,836,24.2,789.3
Rockbank - Mount Cottrell,3183,4080,20,861,16,28.2,897,125.8,32.4
Taylors Hill,20267,20712,241,-26,230,2.2,445,6.0,3470.6
Burnside,4981,5165,12,104,68,3.7,184,2.6,2023.9
Burnside Heights,6420,6550,95,-50,85,2.0,130,2.0,3282.7
Caroline Springs,20971,21455,302,-143,325,2.3,484,7.0,3085.9
