,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
146,MALVERN EAST 512/803 Dandenong Road VIC 3145,500,2,1,1,House,-37.874,145.0425
147,CAROLINE SPRINGS 16 Macedon Close VIC 3023,450,3,2,2,House,-37.7541,144.7651
148,GLEN HUNTLY 14 Hawson Avenue VIC 3163,540,3,1,2,House,-37.8895,145.0581
149,BUNDOORA 67 Weir Loop VIC 3083,500,3,2,2,House,-37.7062,145.0474
150,ARMSTRONG CREEK 30 Edenhope Circuit VIC 3217,530,4,2,2,House,-38.2583,144.3083
151,MIDDLE PARK 167 Richardson Street VIC 3206,1700,4,2,0,House,46.3636,15.3653
152,PRAHRAN 93 Chomley Street VIC 3181,685,2,1,0,House,-37.853,144.9929
153,COBURG 100 Clarendon Street VIC 3058,720,3,1,1,House,-37.75,144.9667
154,ST KILDA 61 Acland Street VIC 3182,780,2,1,0,House,-37.8633,144.9802
155,OAKLEIGH SOUTH 25 Mimosa Avenue VIC 3167,560,4,1,4,House,-37.927,145.0964
156,CROYDON 4 Allaware Avenue VIC 3136,500,3,1,2,House,-37.7744,145.2756
157,BRIGHTON EAST 647 Hawthorn Road VIC 3187,990,4,2,1,House,-37.9014,145.0188
158,RICHMOND 57 Baker Street VIC 3121,650,3,1,1,House,-37.8271,145.0064
159,COBURG 6 Rolls Street VIC 3058,600,3,2,2,House,-37.75,144.9667
160,RINGWOOD EAST 8 Merry Street VIC 3135,550,4,2,2,House,-37.8213,145.2489
161,FITZROY NORTH 62 Clauscen Street VIC 3068,680,2,1,0,House,-37.7865,144.9897
162,BRIGHTON EAST 78 Marriage Rd VIC 3187,1000,4,2,1,House,-37.9014,145.0188
163,KENSINGTON 25 Wolseley Parade VIC 3031,995,4,2,2,House,-37.7899,144.9226
164,SOUTH MELBOURNE 14 Henderson Street VIC 3205,1300,3,2,0,House,46.3817,15.2958
165,BRIGHTON 21 Elm Grove VIC 3186,700,2,1,1,House,-37.9057,145.0067
166,WINDSOR 26 Thomas Street South VIC 3181,750,3,1,1,House,-37.853,144.9929
167,ABBOTSFORD 97 Stafford Street VIC 3067,625,2,1,0,House,-37.8046,144.9998
168,HAWTHORN EAST 15/40 Harold Street VIC 3123,600,2,2,1,House,-37.8248,145.0464
169,CARLTON NORTH 46 Princes St VIC 3054,550,2,1,0,House,-37.7866,144.9685
170,BENTLEIGH EAST 31 Magnolia Avenue VIC 3165,815,3,2,3,House,-37.9201,145.0599
171,RICHMOND 25 Chestnut Street VIC 3121,1100,3,2,0,House,-37.8271,145.0064
172,RICHMOND 46 Loyola Grove VIC 3121,750,3,2,2,House,-37.8271,145.0064
173,ARMSTRONG CREEK 22 Falcon Street VIC 3217,480,4,2,2,House,-38.2583,144.3083
174,CAULFIELD SOUTH 24 Brooklyn Avenue VIC 3162,695,2,1,2,House,-37.0,145.0
175,HUGHESDALE 26 Austin Street VIC 3166,550,3,1,2,House,-37.8995,145.0811
176,GLEN WAVERLEY 38 Kauri Grove VIC 3150,520,3,2,1,House,-37.8891,145.174
177,SOUTH YARRA 57 Lang Street VIC 3141,650,2,1,1,House,-37.8333,144.9833
178,RINGWOOD NORTH 29 Melview Drive VIC 3134,600,3,2,2,House,-37.7667,145.25
179,NEWTOWN 2/2 Melville Avenue VIC 3220,570,2,2,2,House,46.2208,15.3139
180,PORT MELBOURNE 16 Byrne Street VIC 3207,650,3,1,1,House,-37.8329,144.922
181,BALWYN 1/18 Raynes Street VIC 3103,860,4,2,2,House,-37.8117,145.081
182,BALWYN NORTH 7 Nevada Street VIC 3104,760,5,2,2,House,-37.7909,145.0939
183,HAWTHORN 2A Garden Street VIC 3122,50,3,2,2,House,-37.8199,145.0358
184,BEAUMARIS 25 Spicer Street VIC 3193,1050,4,2,2,House,-37.9736,145.0164
185,CLAYTON SOUTH 4 Main Road VIC 3169,595,3,2,2,House,-37.9431,145.106
186,RICHMOND 2 Neptune Street VIC 3121,625,2,1,1,House,-37.8271,145.0064
187,NORTHCOTE 94 Helen Street VIC 3070,720,3,1,1,House,-37.7667,145.0
188,ALBERT PARK 54 O'Grady Street VIC 3206,1350,3,2,1,House,46.3636,15.3653
189,CLAYTON SOUTH 5 Bemboka Avenue VIC 3169,540,3,2,2,House,-37.9431,145.106
190,RICHMOND 11 Bennett Street VIC 3121,565,2,1,0,House,-37.8271,145.0064
191,BENTLEIGH EAST 16 Neville Street VIC 3165,620,3,2,2,House,-37.9201,145.0599
192,BRUNSWICK 52-54 Tinning Street VIC 3056,1400,7,3,0,House,-37.7667,144.9667
193,MIDDLE PARK 175 Richardson Street VIC 3206,890,3,1,0,House,46.3636,15.3653
194,HUGHESDALE 24 Euston Road VIC 3166,675,4,2,3,House,-37.8995,145.0811
195,COLLINGWOOD 73 Easey Street VIC 3066,750,3,1,0,House,-37.8,144.9833
196,BRIGHTON EAST 5 Lucas Street VIC 3187,1049,3,2,2,House,-37.9014,145.0188
197,MOOROOLBARK 33 Blackburn Road VIC 3138,485,3,1,2,House,-37.7833,145.3
198,COBURG 177 Urquhart Street VIC 3058,620,3,2,1,House,-37.75,144.9667
199,BALWYN 19 Parkdale Avenue VIC 3103,550,3,1,2,House,-37.8117,145.081
200,CRANBOURNE NORTH 6 Naila Court VIC 3977,450,4,2,2,House,-38.1375,145.2744
201,PAKENHAM 104 Park Orchard Drive VIC 3810,450,4,2,2,House,-38.1333,145.5167
202,PRAHRAN 42 Commercial Road VIC 3181,560,2,1,2,House,-37.846165,144.9873736
203,PORT MELBOURNE 329 Howe Parade VIC 3207,645,3,1,2,House,-37.8329,144.922
204,NORTHCOTE 13 Bird Avenue VIC 3070,600,2,1,2,House,-37.7667,145.0
205,BRIGHTON 55 Durrant Street VIC 3186,1200,4,2,2,House,-37.9057,145.0067
206,TRUGANINA 37 Award Crescent VIC 3029,410,3,2,3,House,-37.8826,144.7003
207,HIGHTON 16 Homewood Lane VIC 3216,499,3,2,2,House,-38.2335,144.3007
208,MONT ALBERT 30 High Street VIC 3127,995,4,2,2,House,-37.8128,145.1043
209,GLEN HUNTLY 31 Foster Ave VIC 3163,880,4,1,2,House,-37.8895,145.0581
210,ALBERT PARK 53 Hambleton Street VIC 3206,1450,4,2,0,House,46.3636,15.3653
211,YARRAVILLE 38 Urwin Street VIC 3013,490,2,1,1,House,-37.8249,144.8708
212,RICHMOND 4 Wells Street VIC 3121,650,3,1,0,House,-37.8271,145.0064
213,CANTERBURY 14 Avenue Athol VIC 3126,1300,4,3,3,House,-37.8247,145.0848
214,TOORAK 23A Bruce Street VIC 3142,1850,3,3,2,House,-37.8416,145.0177
215,MONT ALBERT 7 Agnes Street VIC 3127,900,4,2,2,House,-37.8128,145.1043
216,BALNARRING BEACH 11 Hansens Lane VIC 3926,1995,4,4,2,House,-38.3533,145.1114
217,TOORAK 16 Glyndebourne Avenue VIC 3142,850,2,1,1,House,-37.8416,145.0177
218,BRUNSWICK 4 McPherson Street VIC 3056,750,3,2,0,House,-37.7667,144.9667
219,PRAHRAN 40 Kelvin Grove VIC 3181,815,3,1,2,House,-37.853,144.9929
220,UPWEY 48 Thompson Road VIC 3158,660,4,2,2,House,-37.9,145.3333
221,ABBOTSFORD 48 Yarra Street VIC 3067,900,3,2,2,House,-37.8046,144.9998
222,PORT MELBOURNE 31 Garton Street VIC 3207,675,2,1,0,House,-37.8329,144.922
223,PORT MELBOURNE 114 Clark Street VIC 3207,890,4,1,1,House,-37.8329,144.922
224,NEWTOWN 47 Clarke Street VIC 3220,520,3,1,1,House,46.2208,15.3139
225,KEYSBOROUGH 36 Beau Vorno Avenue VIC 3173,570,4,2,2,House,-37.9912,145.1739
226,CARLTON 27 Elgin Street VIC 3053,585,2,1,1,House,-37.8004,144.9684
227,EAST MELBOURNE 12 Vale Street VIC 3002,1150,4,2,0,House,-37.8167,144.9879
228,ASHBURTON 12 Carool Road VIC 3147,550,2,1,1,House,-37.8626,145.0794
229,ORMOND 284A Tucker Rd VIC 3204,790,3,2,2,House,46.3375,15.2264
230,SURREY HILLS 65 Broughton Road VIC 3127,550,3,1,1,House,-37.8128,145.1043
231,BENTLEIGH EAST 46B Wingate Street VIC 3165,825,3,2,2,House,-37.9201,145.0599
232,BRUNSWICK 198 Barkly St VIC 3056,950,3,2,1,House,-37.7667,144.9667
233,CLYDE NORTH 7 Gillyweed Avenue VIC 3978,470,4,2,2,House,-38.1333,145.3333
234,HAMPTON 11B Olive St VIC 3188,1500,4,2,2,House,-37.9374,145.0151
235,BRIGHTON EAST 54 Marriage Road VIC 3187,820,4,3,2,House,-37.9014,145.0188
236,BRIGHTON 153 South Road VIC 3186,850,3,1,1,House,-37.9057,145.0067
237,BRIGHTON 5 Airlie Street VIC 3186,1200,3,2,1,House,-37.9057,145.0067
238,PRAHRAN 24 Spring Street VIC 3181,610,2,1,0,House,-37.853,144.9929
239,ASHWOOD 7 Reid Street VIC 3147,625,3,2,3,House,-37.8626,145.0794
240,MALVERN 63 McArthur Street VIC 3144,580,2,1,2,House,-37.8512,145.0317
241,HAWTHORN EAST 26 Victoria Grove VIC 3123,995,3,2,2,House,-37.8248,145.0464
242,COLLINGWOOD 98 Johnston St VIC 3066,1150,3,1,0,House,-37.8,144.9833
243,RICHMOND 2 Appleton Street VIC 3121,625,3,1,0,House,-37.8271,145.0064
244,GLEN IRIS 47 Somerset Road VIC 3146,895,3,2,2,House,-37.8599,145.0549
245,FAIRFIELD 28 Gillies Street VIC 3078,750,2,1,1,House,-37.7829,145.0226
246,ST KILDA EAST 7 Alexandra Street VIC 3183,850,3,1,0,House,-37.8692,144.9977
247,CAULFIELD 10 Urandaline Grove VIC 3162,900,4,2,2,House,-37.8914,145.0254
248,ALBERT PARK 43 Philipson Street VIC 3206,680,3,1,0,House,46.3636,15.3653
249,BEVERIDGE 5 Hillcrest Road VIC 3753,420,4,2,2,House,-37.4833,144.9833
250,GLEN IRIS 1 Lillian Street VIC 3146,1080,4,2,2,House,-37.8599,145.0549
251,PRAHRAN 2/16 Green Street VIC 3181,740,3,2,0,House,-37.853,144.9929
252,SOUTH MELBOURNE 13 Martin Street VIC 3205,1100,3,2,2,House,46.3817,15.2958
253,BURWOOD EAST 20 Ellesmere Road VIC 3151,450,3,2,0,House,-37.8535,145.1503
254,BRIGHTON EAST 33 Landcox Street VIC 3187,1150,4,3,2,House,-37.9014,145.0188
255,BENTLEIGH 11. Plym Street VIC 3204,550,4,2,2,House,46.3375,15.2264
256,CAULFIELD NORTH 24 Orrong Crescent VIC 3161,950,4,3,2,House,-37.0,145.0
257,ARMADALE 33 Barkly Ave VIC 3143,1100,3,2,0,House,-37.85,145.0333
