,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates
538,592,CANTERBURY 3/22 Wentworth Avenue VIC 3126,395,2,1,1,Apartment / Unit / Flat,-37.8247,145.0848,"[145.0848, -37.8247]"
539,593,SOUTHBANK 1003/75 Coventry Street VIC 3006,425,1,1,1,Apartment / Unit / Flat,-37.8228,144.9643,"[144.9643, -37.8228]"
540,594,CLIFTON HILL 5/75 Field Street VIC 3068,620,2,1,1,Apartment / Unit / Flat,-37.7865,144.9897,"[144.9897, -37.7865]"
541,595,SOUTH YARRA 1/74 Leopold Street VIC 3141,800,3,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]"
542,596,MOUNT WAVERLEY 208/436-442 Huntingdale Road VIC 3149,370,1,1,1,Apartment / Unit / Flat,-37.8771,145.1294,"[145.1294, -37.8771]"
543,597,CLAYTON SOUTH 7/8-10 Hayden Road VIC 3169,460,2,1,1,Apartment / Unit / Flat,-37.9431,145.106,"[145.106, -37.9431]"
544,598,CARLTON 8/97 Elgin Street VIC 3053,540,2,1,1,Apartment / Unit / Flat,-37.8004,144.9684,"[144.9684, -37.8004]"
545,599,MOUNT WAVERLEY 211/436-442 Huntingdale Road VIC 3149,360,1,1,1,Apartment / Unit / Flat,-37.8771,145.1294,"[145.1294, -37.8771]"
546,600,ARMADALE 1/9 Barnato Grove VIC 3143,460,2,1,2,Apartment / Unit / Flat,-37.85,145.0333,"[145.0333, -37.85]"
547,601,PORT MELBOURNE 4/211 Esplanade West VIC 3207,380,1,1,0,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
548,602,CAULFIELD NORTH 3/101-103 Orrong Crescent VIC 3161,450,2,1,1,Apartment / Unit / Flat,-37.0,145.0,"[145.0, -37.0]"
549,603,ST KILDA 11/23 Robe Street VIC 3182,310,1,1,0,Apartment / Unit / Flat,-37.8633,144.9802,"[144.9802, -37.8633]"
550,604,ASHBURTON G01/313 High Street VIC 3147,525,2,1,1,Apartment / Unit / Flat,-37.8626,145.0794,"[145.0794, -37.8626]"
