address,price,beds,baths,parking,propertyTypeFormatted
CARLTON 27 Elgin Street VIC 3053,585,2,1,1,House
EAST MELBOURNE 12 Vale Street VIC 3002,1150,4,2,0,House
ASHBURTON 12 Carool Road VIC 3147,550,2,1,1,House
ORMOND 284A Tucker Rd VIC 3204,790,3,2,2,House
SURREY HILLS 65 Broughton Road VIC 3127,550,3,1,1,House
BENTLEIGH EAST 46B Wingate Street VIC 3165,825,3,2,2,House
BRUNSWICK 198 Barkly St VIC 3056,950,3,2,1,House
CLYDE NORTH 7 Gillyweed Avenue VIC 3978,470,4,2,2,House
HAMPTON 11B Olive St VIC 3188,1500,4,2,2,House
BRIGHTON EAST 54 Marriage Road VIC 3187,820,4,3,2,House
BRIGHTON 153 South Road VIC 3186,850,3,1,1,House
BRIGHTON 5 Airlie Street VIC 3186,1200,3,2,1,House
PRAHRAN 24 Spring Street VIC 3181,610,2,1,0,House
ASHWOOD 7 Reid Street VIC 3147,625,3,2,3,House
MALVERN 63 McArthur Street VIC 3144,580,2,1,2,House
HAWTHORN EAST 26 Victoria Grove VIC 3123,995,3,2,2,House
COLLINGWOOD 98 Johnston St VIC 3066,1150,3,1,0,House
RICHMOND 2 Appleton Street VIC 3121,625,3,1,0,House
GLEN IRIS 47 Somerset Road VIC 3146,895,3,2,2,House
FAIRFIELD 28 Gillies Street VIC 3078,750,2,1,1,House
ST KILDA EAST 7 Alexandra Street VIC 3183,850,3,1,0,House
CAULFIELD 10 Urandaline Grove VIC 3162,900,4,2,2,House
ALBERT PARK 43 Philipson Street VIC 3206,680,3,1,0,House
BEVERIDGE 5 Hillcrest Road VIC 3753,420,4,2,2,House
GLEN IRIS 1 Lillian Street VIC 3146,1080,4,2,2,House
PRAHRAN 2/16 Green Street VIC 3181,740,3,2,0,House
SOUTH MELBOURNE 13 Martin Street VIC 3205,1100,3,2,2,House
BURWOOD EAST 20 Ellesmere Road VIC 3151,450,3,2,0,House
BRIGHTON EAST 33 Landcox Street VIC 3187,1150,4,3,2,House
BENTLEIGH 11. Plym Street VIC 3204,550,4,2,2,House
CAULFIELD NORTH 24 Orrong Crescent VIC 3161,950,4,3,2,House
ARMADALE 33 Barkly Ave VIC 3143,1100,3,2,0,House
BRIGHTON EAST 2A Granter Street VIC 3187,525,2,1,1,House
BENTLEIGH EAST 872 Centre Road VIC 3165,750,3,2,4,House
BENTLEIGH 1B Castles Road VIC 3204,740,3,3,1,House
RICHMOND 121 Lord Street VIC 3121,950,3,2,2,House
ELWOOD 18 Kingsley St VIC 3184,630,2,1,2,House
PRAHRAN 6/10 Lalbert Crescent VIC 3181,1100,3,2,2,House
DONCASTER EAST 34 Bellevue Avenue VIC 3109,695,4,2,2,House
THORNBURY 23 Clyde Street VIC 3071,780,4,1,1,House
TOORAK 21 Iona Avenue VIC 3142,2500,4,2,2,House
YARRAVILLE 65 Francis Street VIC 3013,550,2,1,1,House
RINGWOOD 16 Lilian Parade VIC 3134,540,3,1,1,House
ELTHAM 23 Frank Street VIC 3095,500,4,1,2,House
GLEN WAVERLEY 2 Burramine Road VIC 3150,880,5,2,2,House
RICHMOND 6 Fordham Court VIC 3121,460,2,1,1,House
WEST MELBOURNE 603 Spencer Street VIC 3003,525,2,1,1,House
MALVERN EAST 748 Warrigal Road VIC 3145,470,3,1,4,House
CAULFIELD SOUTH 26 Lygon Street VIC 3162,450,2,1,3,House
TOORAK 4 Nareeb Court VIC 3142,1200,5,3,3,House
BROOKFIELD 76 Manooka Road VIC 3338,400,4,2,2,House
CROYDON 11 Maggs Street VIC 3136,450,3,1,2,House
SEAFORD 93 Kirkwood Avenue VIC 3198,550,3,1,3,House
BENTLEIGH EAST 26a Bonny Street VIC 3165,1300,4,3,2,House
MORNINGTON 4 Lucerne Avenue VIC 3931,640,3,2,2,House
LEOPOLD 6 Headland Drive VIC 3224,480,4,2,2,House
WILLIAMSTOWN 10 Gellibrand Street VIC 3016,530,3,1,0,House
PORTSEA 3764 Point Nepean Road VIC 3944,1100,3,2,2,House
ARMADALE 1 Watson Street VIC 3143,500,2,1,0,House
WODONGA 92 Wilson Street VIC 3690,390,3,1,0,House
HIGHETT 31A Tweed St VIC 3190,740,3,2,2,House
CAIRNLEA 403/118 Cairnlea Drive VIC 3023,390,2,2,1,House
BURWOOD 29 Loudon Road VIC 3125,525,2,1,0,House
RICHMOND 94 Coppin Street VIC 3121,650,2,1,1,House
WINDSOR 53 Duke Street VIC 3181,520,2,1,0,House
BALWYN NORTH 3 Ajana Street VIC 3104,1150,4,2,2,House
TOORAK 24 Montalto Avenue VIC 3142,2500,4,3,3,House
ST KILDA EAST 29 Godfrey Avenue VIC 3183,780,3,1,0,House
BENTLEIGH EAST 18 Latham Street VIC 3165,860,4,3,1,House
SOUTH YARRA 12 MacFarlan Street VIC 3141,625,2,1,0,House
TOORAK 10 Ormsby Grove VIC 3142,1450,2,2,4,House
BRIGHTON EAST 700 Hawthorn Road VIC 3187,590,3,1,1,House
RICHMOND 11 Shelley Street VIC 3121,450,2,1,0,House
COLLINGWOOD 10 Bendigo Street VIC 3066,630,3,1,1,House
ALTONA NORTH 11 Carthy Street VIC 3025,460,3,1,2,House
RICHMOND 26 Buckingham Street VIC 3121,625,2,2,1,House
THORNBURY 140A Collins Street VIC 3071,630,3,2,1,House
TALLANGATTA 201 Yabba Road VIC 3700,470,3,1,2,House
BRUNSWICK 43A Thistle Street VIC 3056,560,2,2,1,House
NORTH MELBOURNE 647 Queensberry Street VIC 3051,480,2,1,0,House
CARLTON 3 Chummie Place VIC 3053,875,4,2,1,House
CAULFIELD SOUTH 14 Sussex Road VIC 3162,595,2,1,2,House
WODONGA 18 STANGER COURT VIC 3690,450,3,2,2,House
BRUNSWICK WEST 715/5 Olive York Way VIC 3055,430,2,1,1,House
CAULFIELD SOUTH 1 Rotorua Street VIC 3162,700,2,1,2,House
LARA 3 Flinders Avenue VIC 3212,450,3,1,2,House
PASCOE VALE 543 Pascoe Vale Road VIC 3044,410,3,1,2,House
MONT ALBERT NORTH 70 Melrose Street VIC 3129,680,3,2,2,House
OAKLEIGH 11 Patrick Street VIC 3166,480,3,1,2,House
BRIGHTON 26 Budd Street VIC 3186,795,3,1,1,House
BELMONT 4 Sullivan Court VIC 3216,470,3,1,4,House
LALOR 24 Gratwick Street VIC 3075,500,5,2,3,House
NORTH MELBOURNE 134 Capel Street VIC 3051,525,3,1,0,House
ELSTERNWICK 10 Elm Street VIC 3185,760,2,1,1,House
WEIR VIEWS 36 Skypac Street VIC 3338,410,4,2,2,House
STRATHTULLOH 14 Trafalgar Street VIC 3338,400,4,2,2,House
BRUNSWICK WEST 50 Burnell Street VIC 3055,700,4,1,0,House
PARK ORCHARDS 130 Corriedale Crescent VIC 3114,650,3,1,2,House
ARMADALE 21 Valentine Grove VIC 3143,1150,3,1,1,House
CARNEGIE 112 Koornang Road VIC 3163,370,2,1,1,House
HIGHETT 13 Middleton Street VIC 3190,600,3,1,6,House
MALVERN 7 Haverbrack Avenue VIC 3144,3500,5,4,2,House
BENTLEIGH EAST 21 Blamey Street VIC 3165,625,4,2,4,House
WINDSOR 58 Peel Street VIC 3181,575,2,1,0,House
BRIGHTON EAST 24 Studley Road VIC 3187,995,4,3,4,House
HAWTHORN 408 Auburn Road VIC 3122,830,3,2,2,House
DONCASTER 8 Glenda Street VIC 3108,600,4,1,2,House
CHADSTONE 10 Evans Street VIC 3148,420,3,2,5,House
MALVERN EAST 64 Argyll Street VIC 3145,450,4,1,2,House
