,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,coord,school,train_station,fitness_gym,hospital,shopping_center,park
107,107,107,111,BALWYN NORTH 18 Viewpoint Road VIC 3104,680,3,1,2,House,-37.7909,145.0939,"[145.0939, -37.7909]","[145.0939, -37.7909]",3909.4,4922.8,237.2,5111.0,3443.3,1244.1
108,108,108,112,WODONGA 6 Batt Avenue VIC 3690,350,3,2,4,House,-36.0997,146.802,"[146.802, -36.0997]","[146.802, -36.0997]",5506.1,292446.1,50058.4,10042.8,8547.6,7352.7
109,109,109,113,CARNEGIE 353 Neerim Rd VIC 3163,425,2,1,2,House,-37.8895,145.0581,"[145.0581, -37.8895]","[145.0581, -37.8895]",6795.0,862.5,3175.1,2760.7,660.4,911.2
110,110,110,114,HAWTHORN 101/567 Glenferrie Road VIC 3122,500,2,1,1,House,-37.8199,145.0358,"[145.0358, -37.8199]","[145.0358, -37.8199]",9582.7,271.3,2851.4,708.7,2631.4,1553.2
111,111,111,115,MITCHAM 26 Fellows Street VIC 3132,450,3,1,1,House,-37.8182,145.199,"[145.199, -37.8182]","[145.199, -37.8182]",8123.9,1539.4,1321.5,1677.1,1440.6,562.5
112,112,112,116,CAMBERWELL 27 Donna Buang Street VIC 3124,1900,6,4,5,House,-37.8248,145.0705,"[145.0705, -37.8248]","[145.0705, -37.8248]",6467.5,991.7,3746.5,1508.7,2062.9,440.3
113,113,113,117,TARNEIT 33 Stratus Street VIC 3029,360,3,2,2,House,-37.8826,144.7003,"[144.7003, -37.8826]","[144.7003, -37.8826]",2734.9,455.3,2260.2,2000.8,1585.5,1561.8
114,114,114,118,TARNEIT 35 Stratus Street VIC 3029,360,3,2,2,House,-37.8826,144.7003,"[144.7003, -37.8826]","[144.7003, -37.8826]",2734.9,455.3,2260.2,2000.8,1585.5,1561.8
115,115,115,119,CAULFIELD SOUTH 68 Dover Street VIC 3162,1400,5,3,3,House,-37.8914,145.0254,"[145.0254, -37.8914]","[145.0254, -37.8914]",4127.5,1864.6,677.3,0.0,3484.0,1033.6
116,116,116,120,GLEN IRIS 14/1517 Malvern Road VIC 3146,400,2,1,1,House,-37.8599,145.0549,"[145.0549, -37.8599]","[145.0549, -37.8599]",5304.8,455.4,3824.0,1122.9,2608.3,1358.7
117,117,117,121,BRUNSWICK WEST 3/564C Moreland Road VIC 3055,550,2,2,1,House,-37.7603,144.9502,"[144.9502, -37.7603]","[144.9502, -37.7603]",2004.8,1360.1,939.4,1291.1,2858.4,663.7
118,118,118,122,CHELSEA 6 Stayner Street VIC 3196,460,2,1,1,House,-38.0372,145.1097,"[145.1097, -38.0372]","[145.1097, -38.0372]",5517.5,316.3,3499.2,9575.8,4087.3,1010.0
119,119,119,123,RICHMOND 11 Corsair Street VIC 3121,675,2,1,0,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
120,120,120,124,GEELONG WEST 36 McDougall Street VIC 3218,460,2,1,1,House,-38.1343,144.3241,"[144.3241, -38.1343]","[144.3241, -38.1343]",12377.0,44542.8,3501.7,3426.0,3699.7,485.0
121,121,121,126,MALVERN EAST 41 Chadstone Road VIC 3145,950,5,2,3,House,-37.874,145.0425,"[145.0425, -37.874]","[145.0425, -37.874]",7373.6,1264.1,4127.9,1766.3,915.4,1210.5
122,122,122,127,FYANSFORD 11 Maskell Court VIC 3218,480,3,2,1,House,-38.1343,144.3241,"[144.3241, -38.1343]","[144.3241, -38.1343]",12377.0,44542.8,3501.7,3426.0,3699.7,485.0
123,123,123,128,SPRINGVALE 35 Wareham Street VIC 3171,50,5,3,4,House,-37.9457,145.1581,"[145.1581, -37.9457]","[145.1581, -37.9457]",4665.9,1012.0,1118.3,1398.9,3704.1,1541.9
124,124,124,129,THORNBURY 86 Hutton Street VIC 3071,650,3,1,1,House,-37.7583,145.0051,"[145.0051, -37.7583]","[145.0051, -37.7583]",6328.9,948.5,2628.8,2028.2,2224.9,1330.4
