,Unnamed: 0.1,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2023income,2023house_price,Unnamed: 0,erp_2023,net_internal_migration_2022_23,net_overseas_migration_2022_23,natural_increase_2022_23
96,99,650,MOONEE PONDS,3,1,1,-37.7667,144.9167,3724.0,323.9,590.2,966.0,641.4,1347.0,11717.599999999977,524400.0,142,17373.599999999977,22.599999999998545,-325.7999999999884,23.599999999998545
97,100,530,MOONEE PONDS,2,1,0,-37.7667,144.9167,3724.0,323.9,590.2,966.0,641.4,1347.0,11717.599999999977,524400.0,142,17373.599999999977,22.599999999998545,-325.7999999999884,23.599999999998545
98,101,420,MOONEE PONDS,2,1,0,-37.7667,144.9167,3724.0,323.9,590.2,966.0,641.4,1347.0,11717.599999999977,524400.0,142,17373.599999999977,22.599999999998545,-325.7999999999884,23.599999999998545
99,102,570,MOONEE PONDS,2,2,0,-37.7667,144.9167,3724.0,323.9,590.2,966.0,641.4,1347.0,11717.599999999977,524400.0,142,17373.599999999977,22.599999999998545,-325.7999999999884,23.599999999998545
100,103,595,MOONEE PONDS,3,1,1,-37.7667,144.9167,3724.0,323.9,590.2,966.0,641.4,1347.0,11717.599999999977,524400.0,142,17373.599999999977,22.599999999998545,-325.7999999999884,23.599999999998545
101,104,585,DROMANA,4,2,2,-38.3632,144.9598,36375.6,24468.2,6174.8,12933.2,5920.4,5745.8,8917.400000000023,857200.0,404,13990.800000000048,140.0,-51.09999999999855,-25.0
102,105,1200,FITZROY NORTH,3,2,1,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
103,106,680,FITZROY NORTH,2,1,0,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
104,107,750,FITZROY NORTH,2,1,0,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
105,108,1300,FITZROY NORTH,4,3,2,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
106,109,500,FITZROY NORTH,2,1,0,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
107,110,790,FITZROY NORTH,3,1,0,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
108,111,1000,FITZROY NORTH,3,1,1,-37.7865,144.9897,5109.7,726.8,2778.5,2719.6,3817.0,814.9,10072.0,671800.0,157,14876.200000000012,-376.6999999999971,-417.7999999999884,7.700000000000728
109,112,650,ARMADALE,2,1,0,-37.85,145.0333,7823.1,1583.5,2541.3,542.0,2048.8,1571.9,8146.600000000035,411000.0,42,11428.599999999977,-421.3999999999942,-243.10000000000585,50.8
110,113,950,ARMADALE,3,2,2,-37.8984,145.0088,4348.0,766.7,1692.4,0.0,5071.7,2228.9,8146.600000000035,411000.0,42,11428.599999999977,-421.3999999999942,-243.10000000000585,50.8
111,114,1100,ARMADALE,3,2,0,-37.85,145.0333,7823.1,1583.5,2541.3,542.0,2048.8,1571.9,8146.600000000035,411000.0,42,11428.599999999977,-421.3999999999942,-243.10000000000585,50.8
112,115,500,ARMADALE,2,1,0,-37.85,145.0333,7823.1,1583.5,2541.3,542.0,2048.8,1571.9,8146.600000000035,411000.0,42,11428.599999999977,-421.3999999999942,-243.10000000000585,50.8
113,116,1150,ARMADALE,3,1,1,-37.85,145.0333,7823.1,1583.5,2541.3,542.0,2048.8,1571.9,8146.600000000035,411000.0,42,11428.599999999977,-421.3999999999942,-243.10000000000585,50.8
114,117,2200,ARMADALE,3,2,2,-37.85,145.0333,7823.1,1583.5,2541.3,542.0,2048.8,1571.9,8146.600000000035,411000.0,42,11428.599999999977,-421.3999999999942,-243.10000000000585,50.8
115,118,1150,BLACKBURN,3,1,0,-37.9736,145.0164,6646.2,3215.5,321.2,1444.3,4775.0,1258.9,15880.599999999977,768000.0,178,24693.599999999977,-414.8999999999942,-413.2999999999884,-1.2000000000007276
116,119,1150,BLACKBURN,4,3,2,-37.9736,145.0164,6646.2,3215.5,321.2,1444.3,4775.0,1258.9,15880.599999999977,768000.0,178,24693.599999999977,-414.8999999999942,-413.2999999999884,-1.2000000000007276
117,120,560,NORTHCOTE,2,1,1,-37.7667,145.0,4842.0,613.4,3399.6,2702.1,716.1,2130.6,19203.800000000047,666300.0,137,29688.300000000047,-828.5999999999767,-499.7999999999884,20.0
118,121,330,NORTHCOTE,1,1,1,-37.7667,145.0,4842.0,613.4,3399.6,2702.1,716.1,2130.6,19203.800000000047,666300.0,137,29688.300000000047,-828.5999999999767,-499.7999999999884,20.0
119,122,570,NORTHCOTE,2,1,0,-37.7667,145.0,4842.0,613.4,3399.6,2702.1,716.1,2130.6,19203.800000000047,666300.0,137,29688.300000000047,-828.5999999999767,-499.7999999999884,20.0
120,123,720,NORTHCOTE,3,1,1,-37.7667,145.0,4842.0,613.4,3399.6,2702.1,716.1,2130.6,19203.800000000047,666300.0,137,29688.300000000047,-828.5999999999767,-499.7999999999884,20.0
