,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
57,390,HIGHTON,2,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
58,3000,HIGHTON,3,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
59,3000,HIGHTON,3,3,2,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
60,540,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
61,540,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
62,620,HIGHTON,3,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
63,620,HIGHTON,3,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
66,450,HIGHTON,1,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
67,450,HIGHTON,1,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
68,500,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
69,500,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
70,540,HIGHTON,2,2,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
71,540,HIGHTON,2,2,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
72,530,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
73,530,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
74,480,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
75,480,HIGHTON,2,2,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
76,410,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
77,410,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
78,350,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,1390400.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
79,350,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,16653.199999999953,538300.0,100,25407.399999999907,366.59999999999127,-397.7000000000117,61.60000000000037
80,375,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
81,350,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
82,345,CARLTON,1,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
83,540,CARLTON,2,1,1,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
85,650,CARLTON,2,1,1,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
