,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
47,HINDMA9249,Dimboola Swimming Pool,Lloyd,DIMBOOLA,3414.0,-36.456902,142.027116,"50m Pool - Outdoor, Toddlers Pool"," Lloyd Street, DIMBOOLA 3414",546 G10
48,HINDMA9252,Jeparit Swimming Pool,Sands,JEPARIT,3423.0,-36.140976,141.983916,"25m Pool - Outdoor, Toddlers Pool"," Sands Avenue, JEPARIT 3423",545 S2
49,HINDMA9261,Nhill Swimming Pool,Whitehead,NHILL,3418.0,-36.332204,141.657843,"25m Pool - Outdoor, Recreation / Play Water Space, Rehabilitation Pool"," Whitehead Avenue, NHILL 3418",546 E2
50,HINDMA9265,Rainbow Swimming Pool,Park,RAINBOW,3424.0,-35.900369,141.991099,"30m Pool - Outdoor, Toddlers Pool"," Park Street, RAINBOW 3424",545 S9
51,INDIGO10993,Beechworth Swimming Pool & Skatepark,Church,BEECHWORTH,3747.0,-36.362865,146.687243,," Church Street, BEECHWORTH 3747",659 N4
52,INDIGO11010,Yackandandah Swimming pool,Railway,YACKANDANDAH,3749.0,-36.311306,146.84036,25m Pool - Outdoor," Railway avenue, YACKANDANDAH 3749",659 S10
53,LATROB11429,Moe Olympic Swimming Pool,vale,MOE,3825.0,-38.181498,146.266409,," vale street, MOE 3825",700 F6
54,LATROB11466,Yallourn North Swimming Pool,School,YALLOURN NORTH,3825.0,-38.162956,146.363948,," School avenue, YALLOURN NORTH 3825",703 T4
55,LODDON12584,Boort Swimming Pool,Lake View,BOORT,3537.0,-36.118561,143.724512,," Lake View Street, BOORT 3537",593 N10
56,LODDON12597,Inglewood Swimming Pool,Grant,INGLEWOOD,3517.0,-36.57712,143.873386,," Grant Street, INGLEWOOD 3517",594 C4
57,LODDON12606,Mitiamo Swimming Pool,Echuca-Mitiamo,MITIAMO,3573.0,-36.210662,144.233419,"25m Pool - Outdoor, Toddlers Pool"," Echuca-Mitiamo Road, MITIAMO 3573",30 E5
58,LODDON12612,Pyramid Hills Swimming Pool,Victoria,PYRAMID HILLS,3575.0,-36.0559,144.124715,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Victoria Street, PYRAMID HILLS 3575",592 D11
59,LODDON12620,Wedderburn Swimming Pool,Peters,WEDDERBURN,3518.0,-36.419401,143.615476,"25m Pool - Outdoor, Toddlers Pool"," Peters Street, WEDDERBURN 3518",593 R4
60,MACEDO10925,Gisborne South Swimming Centre,Lock,GISBORNE,3437.0,-37.550958,144.631,Program Pool,"137 Lock Road, GISBORNE 3437",425 D6
61,MACEDO10937,Lancefield Memorial Swimming Pool,Chauncey,LANCEFIELD,3435.0,-37.279809,144.722586,25m Pool - Outdoor," Chauncey Street, LANCEFIELD 3435",635 n3
62,MACEDO10955,Woodend Swimming Pool,Forest,WOODEND,3442.0,-37.353734,144.528802,25m Pool - Outdoor," Forest Street, WOODEND 3442",633 q5
63,MILDUR9102,Colignan Swimming Pool,Kulkyne,COLIGNAN,3494.0,-34.525492,142.369524,"25m Pool - Outdoor, Toddlers Pool"," Kulkyne Way, COLIGNAN 3494",6 g2
64,MILDUR9108,Irymple Swimming Pool,Fifteenth,IRYMPLE,3498.0,-34.234255,142.16872,"30m Pool - Outdoor, Toddlers Pool"," Fifteenth Street, IRYMPLE 3498",537 r4
65,MILDUR9116,Merbein Swimming Pool,Box,MERBEIN,3505.0,-34.166233,142.053419,"25m Pool - Outdoor, Toddlers Pool"," Box Street, MERBEIN 3505",537 m9
66,MILDUR9127,Murrayville Swimming Pool,Reed,MURRAYVILLE,3512.0,-35.264765,141.18144,"25m Pool - Outdoor, Toddlers Pool"," Reed Street, MURRAYVILLE 3512",539 n10
67,MILDUR9133,Ouyen Swimming Pool,Gregory,OUYEN,3490.0,-35.072282,142.316733,"30m Pool - Outdoor, Toddlers Pool"," Gregory Street, OUYEN 3490",540 g10
68,MILDUR9137,Red Cliffs Swimming Pool,Heytsbury,RED CLIFFS,3496.0,-34.304425,142.188741,"30m Pool - Outdoor, Toddlers Pool"," Heytsbury Avenue, RED CLIFFS 3496",538 f8
69,MILDUR9142,Underbool Swimming Pool,Malkin,UNDERBOOL,3509.0,-35.171307,141.807231,"25m Pool - Outdoor, Toddlers Pool"," Malkin Avenue, UNDERBOOL 3509",539 r10
70,MOIRAS12196,Nathalia Swimming Pool,Park,NATHALIA,3638.0,-36.053583,145.211294,"50m Pool - Outdoor, Toddlers Pool"," Park Street, NATHALIA 3638",669 T10
71,MOIRAS12205,Numurkah Swimming Pool,Harbison,NUMURKAH,3636.0,-36.096455,145.442362,," Harbison Avenue, NUMURKAH 3636",670 C6
72,MOIRAS12228,Yarrawonga Swimming Pool,Burley,YARRAWONGA,3730.0,-36.013559,145.996367,," Burley Road, YARRAWONGA 3730",668 C8
73,MONASH12040,Monash Uni Doug Ellis Swimming Pool,Wellington,CLAYTON,3168.0,-37.912047,145.138854,," Wellington Road, CLAYTON 3168",70 G12
