,suburb,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,natural_increase_2019_20,net_internal_migration_2019_20,net_overseas_migration_2019_20,natural_increase_2020_21,net_internal_migration_2020_21,net_overseas_migration_2020_21
294,WANTIRNA,14425,14489,14592,14643,14743,50.0,-174.0,188.0,34.0,-124.0,193.0,-5.0,-138.0,194.0,19.0,-58.0,139.0,27.0,-448.0,-74.0
295,THE BASIN,4441,4463,4478,4472,4419,47.0,-39.0,14.0,29.0,-27.0,13.0,36.0,-54.0,12.0,41.0,-103.0,9.0,35.0,-34.0,-5.0
296,WANTIRNA SOUTH,18580,18673,18853,18996,19100,-9.0,-169.0,271.0,-25.0,-73.0,278.0,7.0,-145.0,281.0,-28.0,-69.0,201.0,-28.0,-218.0,-108.0
297,BORONIA,22918,23248,23449,23734,23978,141.0,24.0,165.0,71.0,-28.0,158.0,124.0,4.0,157.0,53.0,78.0,113.0,72.0,-54.0,-61.0
298,FERNTREE GULLY (NORTH),14337,14399,14517,14642,14674,43.0,-62.0,81.0,90.0,-49.0,77.0,44.0,5.0,76.0,65.0,-87.0,54.0,43.0,-200.0,-30.0
299,DONVALE - PARK ORCHARDS,16715,16806,16877,16893,16817,2.0,-30.0,119.0,3.0,-43.0,111.0,-26.0,-67.0,109.0,-14.0,-139.0,77.0,-19.0,-112.0,-70.0
300,WARRANDYTE - WONGA PARK,10613,10645,10658,10657,10545,11.0,-31.0,52.0,14.0,-52.0,51.0,19.0,-72.0,52.0,-12.0,-135.0,35.0,20.0,-177.0,-19.0
301,BAYSWATER NORTH,12257,12351,12470,12518,12505,34.0,-4.0,64.0,54.0,4.0,61.0,68.0,-82.0,62.0,26.0,-83.0,44.0,38.0,-321.0,-24.0
302,RINGWOOD,17931,18289,18488,18863,19149,126.0,-89.0,321.0,95.0,-217.0,321.0,75.0,-23.0,323.0,115.0,-59.0,230.0,69.0,-161.0,-125.0
303,RINGWOOD EAST,21031,21341,21544,21748,21913,136.0,-123.0,297.0,144.0,-226.0,285.0,135.0,-214.0,283.0,110.0,-146.0,201.0,73.0,-341.0,-108.0
304,RINGWOOD NORTH,9991,10062,10099,10076,9977,29.0,-27.0,69.0,27.0,-52.0,62.0,15.0,-95.0,57.0,21.0,-159.0,39.0,-10.0,-137.0,-36.0
305,NARRE WARREN SOUTH (EAST),13713,13814,13871,13866,13714,118.0,-110.0,93.0,106.0,-144.0,95.0,93.0,-190.0,92.0,80.0,-299.0,67.0,103.0,-60.0,-37.0
306,CROYDON - WEST,13805,14163,14418,14666,14758,72.0,159.0,127.0,39.0,94.0,122.0,54.0,73.0,121.0,16.0,-12.0,88.0,18.0,-220.0,-47.0
307,CROYDON SOUTH,4856,4899,4916,4950,5018,49.0,-47.0,41.0,57.0,-78.0,38.0,37.0,-41.0,38.0,39.0,1.0,28.0,38.0,-95.0,-15.0
308,FOREST HILL,11074,11283,11387,11478,11536,5.0,4.0,200.0,39.0,-126.0,191.0,14.0,-114.0,191.0,6.0,-85.0,137.0,10.0,-131.0,-73.0
309,NARRE WARREN SOUTH (WEST),17513,17718,17825,17866,17768,213.0,-220.0,212.0,184.0,-294.0,217.0,203.0,-378.0,216.0,157.0,-409.0,154.0,162.0,-506.0,-83.0
310,MITCHAM (VIC.),16859,17162,17392,17531,17671,174.0,-97.0,226.0,145.0,-156.0,241.0,120.0,-236.0,255.0,127.0,-183.0,196.0,129.0,-328.0,-105.0
311,NUNAWADING,12363,12651,12839,12927,12983,91.0,-64.0,261.0,92.0,-160.0,256.0,63.0,-227.0,252.0,51.0,-176.0,181.0,43.0,-242.0,-97.0
312,VERMONT,10896,11041,11176,11313,11405,56.0,-91.0,180.0,74.0,-124.0,185.0,28.0,-76.0,185.0,24.0,-64.0,132.0,18.0,-173.0,-71.0
313,VERMONT SOUTH,12251,12347,12388,12387,12303,-18.0,-50.0,164.0,-39.0,-102.0,182.0,-40.0,-141.0,180.0,-51.0,-170.0,137.0,-46.0,-127.0,-73.0
314,CHIRNSIDE PARK,10266,10645,10987,11385,11664,87.0,223.0,69.0,97.0,178.0,67.0,111.0,221.0,66.0,99.0,133.0,47.0,112.0,9.0,-25.0
315,BELGRAVE - SELBY,10453,10463,10452,10415,10387,77.0,-120.0,53.0,75.0,-142.0,56.0,83.0,-176.0,56.0,63.0,-130.0,39.0,64.0,-266.0,-21.0
316,HEALESVILLE - YARRA GLEN,14106,14304,14512,14637,14632,35.0,120.0,43.0,52.0,114.0,42.0,57.0,28.0,40.0,-1.0,-33.0,29.0,33.0,-78.0,-17.0
317,MONTROSE,7078,7131,7154,7137,7092,2.0,25.0,26.0,30.0,-32.0,25.0,-10.0,-34.0,27.0,14.0,-78.0,19.0,-18.0,-12.0,-10.0
318,MOOROOLBARK,23027,23466,23724,24061,24179,212.0,73.0,154.0,204.0,-93.0,147.0,220.0,-27.0,144.0,206.0,-192.0,104.0,169.0,-443.0,-56.0
319,MOUNT DANDENONG - OLINDA,10109,10127,10137,10198,10174,73.0,-105.0,50.0,45.0,-83.0,48.0,55.0,-41.0,47.0,59.0,-117.0,34.0,34.0,-157.0,-18.0
320,SEDDON - KINGSVILLE,9711,9875,10013,10124,10141,151.0,-112.0,125.0,113.0,-106.0,131.0,117.0,-136.0,130.0,115.0,-188.0,90.0,95.0,-258.0,-83.0
321,MOUNT EVELYN,10081,10170,10208,10299,10247,116.0,-65.0,38.0,73.0,-70.0,35.0,97.0,-40.0,34.0,77.0,-155.0,26.0,80.0,-62.0,-14.0
322,UPWEY - TECOMA,10040,10041,10048,10024,10044,76.0,-111.0,36.0,71.0,-102.0,38.0,108.0,-170.0,38.0,59.0,-67.0,28.0,71.0,-187.0,-15.0
323,WANDIN - SEVILLE,7884,7959,8055,8068,8095,61.0,0.0,14.0,70.0,13.0,13.0,74.0,-73.0,12.0,74.0,-57.0,10.0,51.0,-45.0,-5.0
324,PAKENHAM - NORTH,19370,20564,21640,22663,23315,338.0,730.0,126.0,359.0,597.0,120.0,360.0,544.0,119.0,374.0,193.0,85.0,287.0,175.0,-47.0
325,PAKENHAM - SOUTH,29580,30959,32087,33116,33925,388.0,695.0,296.0,376.0,468.0,284.0,378.0,369.0,282.0,324.0,284.0,201.0,293.0,-114.0,-108.0
326,NARRE WARREN - NORTH EAST,13967,14048,14169,14198,14184,140.0,-189.0,130.0,168.0,-176.0,129.0,129.0,-227.0,127.0,128.0,-233.0,91.0,96.0,-276.0,-49.0
327,BERWICK - NORTH,23824,23999,24040,24176,24117,75.0,-152.0,252.0,-14.0,-201.0,256.0,35.0,-151.0,252.0,1.0,-241.0,181.0,16.0,-316.0,-97.0
328,CRANBOURNE NORTH,20985,22497,23885,24913,25521,393.0,830.0,289.0,346.0,766.0,276.0,395.0,359.0,274.0,374.0,38.0,196.0,315.0,-64.0,-105.0
329,BERWICK - SOUTH,26874,27742,28500,29086,29450,332.0,208.0,328.0,318.0,111.0,329.0,282.0,-21.0,325.0,246.0,-114.0,232.0,250.0,165.0,-126.0
330,ENDEAVOUR HILLS - NORTH,12499,12483,12515,12501,12335,69.0,-189.0,104.0,108.0,-175.0,99.0,88.0,-199.0,97.0,44.0,-279.0,69.0,33.0,-316.0,-38.0
331,DOVETON,11867,12067,12210,12277,12427,112.0,-135.0,223.0,118.0,-187.0,212.0,110.0,-255.0,212.0,87.0,-88.0,151.0,94.0,-474.0,-81.0
332,HALLAM,11335,11525,11630,11771,11788,105.0,-128.0,213.0,61.0,-160.0,204.0,71.0,-133.0,203.0,52.0,-185.0,150.0,26.0,-349.0,-78.0
333,ENDEAVOUR HILLS - SOUTH,14160,14140,14092,14047,14027,126.0,-315.0,169.0,138.0,-351.0,165.0,118.0,-327.0,164.0,111.0,-249.0,118.0,77.0,-459.0,-63.0
334,CRANBOURNE SOUTH,9116,9392,10255,11972,13862,66.0,171.0,39.0,90.0,736.0,37.0,104.0,1577.0,36.0,195.0,1668.0,27.0,281.0,1624.0,-15.0
335,NARRE WARREN NORTH,8183,8357,8549,8645,8750,-19.0,144.0,49.0,-5.0,150.0,47.0,-8.0,57.0,47.0,1.0,71.0,33.0,-19.0,41.0,-18.0
336,CRANBOURNE WEST,15685,17145,18604,19763,20841,365.0,879.0,216.0,400.0,853.0,206.0,393.0,560.0,206.0,347.0,585.0,146.0,304.0,780.0,-78.0
337,NARRE WARREN - SOUTH WEST,14544,14736,14889,15014,15065,159.0,-202.0,235.0,169.0,-252.0,236.0,134.0,-242.0,233.0,128.0,-243.0,166.0,108.0,-295.0,-90.0
338,CRANBOURNE,20888,21130,21271,21314,21414,259.0,-250.0,233.0,221.0,-305.0,225.0,219.0,-399.0,223.0,216.0,-276.0,160.0,198.0,-241.0,-86.0
339,CRANBOURNE EAST,26754,34130,41381,49218,55462,602.0,6307.0,467.0,769.0,6037.0,445.0,892.0,6503.0,442.0,1098.0,4805.0,341.0,1085.0,4112.0,-170.0
340,CLARINDA - OAKLEIGH SOUTH,12323,12354,12361,12341,12291,41.0,-186.0,176.0,16.0,-176.0,167.0,33.0,-219.0,166.0,25.0,-193.0,118.0,-7.0,-356.0,-63.0
341,CLAYTON SOUTH,13296,13507,13827,14298,14401,154.0,-564.0,621.0,131.0,-429.0,618.0,141.0,-294.0,624.0,133.0,-476.0,446.0,105.0,-375.0,-241.0
342,DANDENONG,32700,33396,33934,34309,34176,388.0,-754.0,1062.0,391.0,-868.0,1015.0,295.0,-926.0,1006.0,253.0,-1156.0,770.0,245.0,-1112.0,-373.0
343,WEST FOOTSCRAY - TOTTENHAM,12058,12322,12613,12934,13063,148.0,-214.0,330.0,163.0,-187.0,315.0,149.0,-140.0,312.0,148.0,-241.0,222.0,126.0,-268.0,-121.0
344,DANDENONG NORTH,23684,23820,23915,23966,23656,141.0,-384.0,379.0,177.0,-444.0,362.0,178.0,-487.0,360.0,127.0,-694.0,257.0,85.0,-738.0,-139.0
345,DINGLEY VILLAGE,10611,10642,10687,10754,10724,30.0,-73.0,74.0,-17.0,-10.0,72.0,37.0,-41.0,71.0,19.0,-99.0,50.0,7.0,-152.0,-27.0
346,KEYSBOROUGH,27471,28749,29856,30898,31472,224.0,626.0,428.0,298.0,393.0,416.0,276.0,354.0,412.0,247.0,7.0,320.0,211.0,55.0,-158.0
347,NOBLE PARK NORTH,7871,7906,7928,7938,7913,48.0,-113.0,100.0,58.0,-132.0,96.0,76.0,-160.0,94.0,51.0,-143.0,67.0,36.0,-196.0,-37.0
348,SPRINGVALE,22761,23256,23642,23927,23866,226.0,-582.0,851.0,146.0,-591.0,831.0,171.0,-712.0,826.0,147.0,-848.0,640.0,80.0,-819.0,-314.0
349,SPRINGVALE SOUTH,13227,13321,13372,13412,13392,91.0,-324.0,327.0,88.0,-349.0,312.0,85.0,-354.0,309.0,83.0,-323.0,220.0,27.0,-433.0,-120.0
350,NOBLE PARK - EAST,13073,13301,13501,13626,13650,151.0,-392.0,469.0,163.0,-415.0,452.0,130.0,-453.0,448.0,86.0,-409.0,347.0,107.0,-623.0,-172.0
351,MOUNT WAVERLEY - NORTH,16053,16219,16334,16456,16635,30.0,-294.0,430.0,44.0,-333.0,404.0,52.0,-327.0,397.0,48.0,-151.0,282.0,28.0,-171.0,-250.0
352,NOBLE PARK - WEST,19435,19769,19992,20185,20142,150.0,-359.0,543.0,155.0,-452.0,520.0,100.0,-424.0,517.0,100.0,-549.0,406.0,116.0,-530.0,-199.0
353,ASHWOOD - CHADSTONE,19308,19872,20204,20609,20800,149.0,-79.0,494.0,139.0,-276.0,469.0,90.0,-140.0,455.0,90.0,-222.0,323.0,63.0,-168.0,-293.0
354,CLAYTON,23672,25484,26785,27569,28436,84.0,-989.0,2717.0,71.0,-1096.0,2326.0,-14.0,-1340.0,2138.0,14.0,-629.0,1482.0,41.0,-410.0,-2295.0
355,MOUNT WAVERLEY - SOUTH,19291,19637,20009,20243,20279,50.0,-176.0,472.0,49.0,-125.0,448.0,39.0,-247.0,442.0,26.0,-303.0,313.0,9.0,-237.0,-283.0
356,GLEN WAVERLEY - EAST,22153,22293,22404,22477,22382,52.0,-541.0,629.0,28.0,-509.0,592.0,20.0,-529.0,582.0,-19.0,-490.0,414.0,-15.0,-471.0,-364.0
357,GLEN WAVERLEY - WEST,20151,20442,20687,20969,21098,44.0,-497.0,744.0,6.0,-478.0,717.0,4.0,-432.0,710.0,-20.0,-371.0,520.0,-32.0,-220.0,-450.0
358,MULGRAVE,20462,20663,20900,21038,21180,79.0,-256.0,378.0,97.0,-230.0,370.0,52.0,-281.0,367.0,62.0,-182.0,262.0,42.0,-380.0,-143.0
359,OAKLEIGH - HUNTINGDALE,22617,23152,23589,24078,24399,129.0,-297.0,703.0,94.0,-331.0,674.0,134.0,-314.0,669.0,77.0,-233.0,477.0,115.0,-126.0,-258.0
360,CAIRNLEA,10206,10421,10569,10645,10774,95.0,18.0,102.0,117.0,-67.0,98.0,78.0,-98.0,96.0,57.0,4.0,68.0,67.0,-319.0,-38.0
361,WHEELERS HILL,20880,20976,21014,21037,21070,-60.0,-129.0,285.0,-66.0,-188.0,292.0,-83.0,-188.0,294.0,-92.0,-89.0,214.0,-110.0,-118.0,-116.0
362,ARDEER - ALBION,8202,8342,8458,8533,8552,65.0,-166.0,241.0,74.0,-190.0,232.0,85.0,-240.0,230.0,72.0,-217.0,164.0,27.0,-303.0,-88.0
363,DEER PARK - DERRIMUT,27536,28218,28711,28930,28775,412.0,-187.0,457.0,419.0,-364.0,438.0,356.0,-571.0,434.0,324.0,-815.0,336.0,273.0,-900.0,-167.0
364,DELAHEY,8841,8843,8831,8817,8743,45.0,-124.0,81.0,37.0,-135.0,86.0,64.0,-164.0,86.0,51.0,-186.0,61.0,15.0,-303.0,-34.0
365,KEILOR DOWNS,13943,13937,13910,13834,13665,98.0,-213.0,109.0,95.0,-230.0,108.0,67.0,-249.0,106.0,47.0,-291.0,75.0,48.0,-338.0,-42.0
366,KINGS PARK (VIC.),14447,14586,14645,14695,14543,106.0,-157.0,190.0,146.0,-268.0,181.0,144.0,-275.0,181.0,118.0,-399.0,129.0,93.0,-390.0,-70.0
367,ST ALBANS - NORTH,21064,21437,21686,21803,21611,230.0,-363.0,506.0,229.0,-464.0,484.0,221.0,-584.0,480.0,161.0,-707.0,354.0,159.0,-785.0,-185.0
368,ST ALBANS - SOUTH,18025,18336,18487,18559,18394,141.0,-260.0,430.0,168.0,-429.0,412.0,83.0,-419.0,408.0,67.0,-534.0,302.0,63.0,-610.0,-157.0
369,SUNSHINE,10241,10411,10539,10645,10556,97.0,-259.0,332.0,88.0,-279.0,319.0,77.0,-286.0,315.0,69.0,-382.0,224.0,71.0,-354.0,-122.0
370,SUNSHINE NORTH,12123,12331,12487,12535,12519,75.0,-67.0,200.0,86.0,-121.0,191.0,45.0,-188.0,191.0,77.0,-230.0,137.0,50.0,-236.0,-73.0
371,SUNSHINE WEST,19533,19896,20123,20270,20197,147.0,-90.0,306.0,147.0,-204.0,284.0,116.0,-251.0,282.0,144.0,-418.0,201.0,81.0,-771.0,-108.0
372,SYDENHAM,12585,12702,12768,12801,12628,52.0,-206.0,271.0,32.0,-226.0,260.0,51.0,-275.0,257.0,39.0,-400.0,188.0,20.0,-431.0,-99.0
373,ALTONA,13206,13443,13713,14004,14158,75.0,20.0,142.0,71.0,63.0,136.0,103.0,55.0,133.0,60.0,-2.0,96.0,65.0,-87.0,-51.0
374,TAYLORS LAKES,18455,18421,18401,18325,18091,78.0,-228.0,116.0,75.0,-206.0,111.0,91.0,-276.0,109.0,85.0,-397.0,78.0,51.0,-412.0,-43.0
375,FOOTSCRAY,17343,18031,18631,19155,19568,95.0,-51.0,644.0,79.0,-126.0,647.0,70.0,-198.0,652.0,68.0,-120.0,465.0,87.0,-126.0,-243.0
376,ALTONA MEADOWS,20106,20313,20409,20456,20343,116.0,-145.0,236.0,115.0,-247.0,228.0,117.0,-296.0,226.0,106.0,-381.0,162.0,41.0,-560.0,-86.0
377,ALTONA NORTH,14787,15024,15196,15425,15587,89.0,4.0,144.0,103.0,-64.0,133.0,81.0,12.0,136.0,103.0,-39.0,98.0,54.0,-185.0,-53.0
378,YARRAVILLE,15656,15891,16233,16625,16812,163.0,-109.0,181.0,188.0,-16.0,170.0,188.0,36.0,168.0,133.0,-65.0,119.0,135.0,-194.0,-102.0
379,NEWPORT,18523,18836,19180,19567,19799,244.0,-137.0,206.0,244.0,-94.0,194.0,208.0,-13.0,192.0,219.0,-123.0,136.0,211.0,-276.0,-122.0
380,SEABROOK,5408,5464,5517,5544,5396,47.0,-62.0,71.0,48.0,-62.0,67.0,63.0,-104.0,68.0,42.0,-239.0,49.0,36.0,-155.0,-26.0
381,MARIBYRNONG,12950,13448,13785,14121,14442,133.0,1.0,364.0,129.0,-140.0,348.0,119.0,-128.0,345.0,131.0,-56.0,246.0,99.0,-211.0,-128.0
382,WILLIAMSTOWN,16389,16636,16932,17271,17384,72.0,-29.0,204.0,57.0,48.0,191.0,47.0,103.0,189.0,24.0,-45.0,134.0,34.0,-232.0,-121.0
383,BRAYBROOK,19224,19795,20138,20523,20902,219.0,-197.0,549.0,193.0,-374.0,524.0,184.0,-320.0,521.0,172.0,-164.0,371.0,145.0,-213.0,-201.0
384,MELTON SOUTH,24243,26473,28613,30696,33459,309.0,1673.0,248.0,428.0,1483.0,229.0,443.0,1414.0,226.0,493.0,2108.0,162.0,509.0,1822.0,-87.0
385,BURNSIDE,4943,5125,5296,5396,5541,11.0,102.0,69.0,24.0,80.0,67.0,-3.0,37.0,66.0,24.0,75.0,46.0,-2.0,98.0,-25.0
386,MELTON WEST,18157,19004,19964,20897,21315,324.0,419.0,104.0,274.0,587.0,99.0,311.0,525.0,97.0,296.0,53.0,69.0,248.0,-141.0,-38.0
387,ROCKBANK - MOUNT COTTRELL,3148,4050,6455,8816,11370,19.0,866.0,17.0,50.0,2344.0,11.0,130.0,2219.0,12.0,220.0,2324.0,10.0,297.0,3611.0,-4.0
388,TAYLORS HILL,20218,20670,20918,21225,21316,236.0,-19.0,235.0,214.0,-193.0,227.0,221.0,-139.0,225.0,197.0,-267.0,161.0,161.0,-374.0,-87.0
389,BURNSIDE HEIGHTS,6431,6559,6688,6787,6695,93.0,-52.0,87.0,107.0,-61.0,83.0,76.0,-59.0,82.0,88.0,-239.0,59.0,62.0,-195.0,-31.0
390,CAROLINE SPRINGS,20968,21457,21730,21855,21968,296.0,-141.0,334.0,262.0,-309.0,320.0,202.0,-393.0,316.0,202.0,-314.0,225.0,148.0,-482.0,-123.0
391,HOPPERS CROSSING - NORTH,20172,20266,20294,20284,20093,205.0,-356.0,245.0,218.0,-426.0,236.0,177.0,-421.0,234.0,156.0,-513.0,166.0,114.0,-609.0,-89.0
392,HOPPERS CROSSING - SOUTH,20220,20459,20609,20670,20506,211.0,-358.0,386.0,177.0,-397.0,370.0,177.0,-482.0,366.0,172.0,-618.0,282.0,123.0,-819.0,-142.0
393,FRANKSTON NORTH,19939,19966,19966,19937,19886,101.0,-183.0,109.0,96.0,-200.0,104.0,38.0,-169.0,102.0,97.0,-220.0,72.0,56.0,-321.0,-40.0
394,LAVERTON,9385,10279,10953,11586,11994,175.0,342.0,377.0,187.0,126.0,361.0,211.0,63.0,359.0,191.0,-65.0,282.0,128.0,-175.0,-138.0
395,TARNEIT,36404,39743,43410,46735,49848,853.0,1524.0,962.0,941.0,1768.0,958.0,975.0,1420.0,930.0,992.0,1379.0,742.0,958.0,2415.0,-355.0
396,TRUGANINA,24628,27633,30256,33167,35778,734.0,1473.0,798.0,754.0,1089.0,780.0,760.0,1377.0,774.0,811.0,1170.0,630.0,746.0,1330.0,-293.0
397,WERRIBEE - SOUTH,11776,12286,13115,14162,15208,22.0,312.0,176.0,19.0,643.0,167.0,38.0,843.0,166.0,80.0,848.0,118.0,28.0,413.0,-63.0
398,WYNDHAM VALE,24270,25545,27220,29227,31022,405.0,499.0,371.0,477.0,843.0,355.0,474.0,1181.0,352.0,456.0,1062.0,277.0,474.0,1197.0,-136.0
399,POINT COOK - EAST,12818,14491,16030,17895,19011,239.0,1102.0,332.0,260.0,967.0,312.0,333.0,1225.0,307.0,298.0,600.0,218.0,274.0,373.0,-197.0
400,POINT COOK - NORTH,24288,24905,25333,25552,25568,315.0,-195.0,497.0,313.0,-379.0,494.0,324.0,-596.0,491.0,248.0,-583.0,351.0,199.0,-543.0,-185.0
401,POINT COOK - SOUTH,15147,16847,18380,19483,20058,344.0,915.0,441.0,341.0,723.0,469.0,319.0,311.0,473.0,287.0,-54.0,342.0,272.0,-168.0,-184.0
402,WERRIBEE - EAST,20643,20844,20986,21069,20883,132.0,-309.0,378.0,216.0,-435.0,361.0,132.0,-408.0,359.0,160.0,-602.0,256.0,36.0,-743.0,-139.0
403,WERRIBEE - WEST,12283,13128,14315,16275,18592,152.0,564.0,129.0,181.0,884.0,122.0,225.0,1614.0,121.0,304.0,1926.0,87.0,358.0,1759.0,-46.0
404,CARRUM DOWNS,21549,21837,22082,22265,22493,182.0,-30.0,136.0,175.0,-59.0,129.0,175.0,-121.0,129.0,197.0,-61.0,92.0,159.0,-182.0,-50.0
405,FRANKSTON,23510,23719,23965,24104,24241,137.0,-131.0,203.0,139.0,-86.0,193.0,62.0,-117.0,194.0,107.0,-109.0,139.0,74.0,-330.0,-74.0
406,FRANKSTON SOUTH,18995,19113,19217,19303,19242,32.0,-37.0,123.0,2.0,-16.0,118.0,-1.0,-30.0,117.0,-9.0,-136.0,84.0,-16.0,-133.0,-46.0
407,LANGWARRIN,24694,24926,25155,25295,25530,233.0,-70.0,69.0,236.0,-74.0,67.0,179.0,-105.0,66.0,184.0,5.0,46.0,190.0,-138.0,-25.0
408,SEAFORD (VIC.),17151,17263,17377,17491,17681,193.0,-180.0,99.0,187.0,-168.0,95.0,124.0,-102.0,92.0,129.0,-6.0,67.0,143.0,-257.0,-37.0
409,SKYE - SANDHURST,13664,13894,14085,14250,14208,186.0,-56.0,100.0,156.0,-61.0,96.0,160.0,-89.0,94.0,125.0,-234.0,67.0,102.0,-172.0,-37.0
410,DROMANA,11454,11939,12325,12565,12896,2.0,425.0,58.0,-42.0,372.0,56.0,-13.0,197.0,56.0,-10.0,302.0,39.0,-22.0,284.0,-22.0
411,FLINDERS,5642,5645,5653,5644,5674,-20.0,-13.0,36.0,-9.0,-16.0,33.0,-18.0,-23.0,32.0,-29.0,35.0,24.0,5.0,11.0,-13.0
412,HASTINGS - SOMERS,22851,23096,23344,23654,23704,127.0,49.0,69.0,126.0,55.0,67.0,117.0,127.0,66.0,61.0,-57.0,46.0,93.0,-110.0,-25.0
413,ROSEBUD - MCCRAE,21613,21893,22087,22278,22474,-147.0,349.0,78.0,-147.0,266.0,75.0,-135.0,252.0,74.0,-157.0,300.0,53.0,-163.0,273.0,-12.0
414,MORNINGTON,25030,25496,25914,26206,26289,-56.0,391.0,131.0,-47.0,340.0,125.0,-70.0,238.0,124.0,-67.0,60.0,90.0,-123.0,-142.0,-48.0
415,STAWELL,8225,8184,8128,8107,8093,-27.0,-46.0,32.0,-17.0,-70.0,31.0,-7.0,-46.0,32.0,-6.0,-32.0,24.0,17.0,19.0,-5.0
416,WEST WIMMERA,2782,2750,2716,2712,2691,1.0,-36.0,3.0,-3.0,-33.0,2.0,-5.0,-1.0,2.0,13.0,-36.0,2.0,-6.0,-52.0,0.0
417,YARRIAMBIACK,6693,6632,6610,6578,6535,-43.0,-34.0,16.0,-28.0,-9.0,15.0,-55.0,8.0,15.0,-46.0,-8.0,11.0,-32.0,-100.0,-3.0
418,MOUNT ELIZA,18696,18843,19024,19139,19232,2.0,0.0,145.0,8.0,26.0,147.0,1.0,-30.0,144.0,0.0,-10.0,103.0,3.0,-79.0,-92.0
419,RED CLIFFS,5947,5995,6007,5990,5989,32.0,-4.0,20.0,28.0,-36.0,20.0,8.0,-46.0,21.0,23.0,-38.0,14.0,-4.0,-121.0,-9.0
420,MOUNT MARTHA,19365,19601,19773,20021,20105,32.0,106.0,98.0,37.0,42.0,93.0,44.0,112.0,92.0,-23.0,41.0,66.0,-9.0,29.0,-37.0
421,POINT NEPEAN,17999,18204,18433,18709,19023,43.0,96.0,66.0,49.0,113.0,67.0,56.0,152.0,68.0,0.0,266.0,48.0,21.0,209.0,-12.0
422,GANNAWARRA,6661,6682,6653,6594,6576,2.0,16.0,3.0,-4.0,-27.0,2.0,-22.0,-39.0,2.0,-29.0,9.0,2.0,-3.0,41.0,0.0
423,SOMERVILLE,18878,19117,19270,19403,19435,76.0,113.0,50.0,94.0,10.0,49.0,108.0,-25.0,50.0,105.0,-107.0,34.0,88.0,-55.0,-19.0
424,LOCKINGTON - GUNBOWER,3855,3860,3874,3855,3872,3.0,-2.0,4.0,11.0,-1.0,4.0,0.0,-23.0,4.0,33.0,-18.0,2.0,13.0,40.0,0.0
425,ARARAT,8386,8396,8413,8447,8532,-27.0,-11.0,48.0,-23.0,-8.0,48.0,-5.0,-8.0,47.0,-3.0,54.0,34.0,-33.0,-34.0,-8.0
426,ARARAT REGION,3198,3216,3222,3245,3289,9.0,-7.0,16.0,9.0,-20.0,17.0,2.0,4.0,17.0,7.0,25.0,12.0,10.0,33.0,-4.0
427,HORSHAM,16462,16497,16513,16589,16729,60.0,-80.0,55.0,62.0,-102.0,56.0,72.0,-52.0,56.0,60.0,41.0,39.0,16.0,-31.0,-9.0
428,HORSHAM REGION,3443,3439,3417,3394,3344,3.0,-10.0,3.0,6.0,-30.0,2.0,3.0,-28.0,2.0,-13.0,-39.0,2.0,6.0,-32.0,0.0
429,NHILL REGION,6960,6882,6796,6720,6710,-18.0,-77.0,17.0,5.0,-107.0,16.0,-45.0,-48.0,17.0,-27.0,6.0,11.0,-18.0,-10.0,-3.0
430,ST ARNAUD,3353,3314,3288,3283,3299,-12.0,-38.0,11.0,-15.0,-22.0,11.0,-8.0,-7.0,10.0,5.0,3.0,8.0,-17.0,-32.0,-2.0
431,IRYMPLE,6945,6998,7089,7194,7343,33.0,1.0,19.0,37.0,34.0,20.0,49.0,35.0,21.0,30.0,105.0,14.0,38.0,106.0,-8.0
432,MERBEIN,4820,4860,4885,4876,4853,0.0,28.0,12.0,3.0,11.0,11.0,-9.0,-12.0,12.0,-14.0,-19.0,10.0,-13.0,-62.0,-4.0
433,MILDURA REGION,3747,3742,3755,3775,3827,-2.0,-41.0,38.0,-3.0,-27.0,43.0,6.0,-28.0,42.0,1.0,21.0,30.0,6.0,13.0,-16.0
434,MILDURA - NORTH,18398,18575,18660,18710,18682,165.0,-237.0,249.0,88.0,-266.0,263.0,100.0,-310.0,260.0,68.0,-282.0,186.0,45.0,-280.0,-100.0
435,MILDURA - SOUTH,14801,14972,15120,15234,15222,101.0,-42.0,112.0,71.0,-35.0,112.0,75.0,-72.0,111.0,74.0,-166.0,80.0,25.0,-253.0,-44.0
436,BULOKE,6285,6208,6186,6126,6104,-64.0,-29.0,16.0,-23.0,-16.0,17.0,-33.0,-44.0,17.0,-10.0,-24.0,12.0,-21.0,-5.0,-4.0
437,KERANG,3898,3881,3885,3867,3815,-18.0,-2.0,3.0,-28.0,30.0,2.0,-17.0,-3.0,2.0,-24.0,-30.0,2.0,-14.0,14.0,0.0
438,ROBINVALE,3382,3359,3374,3330,3299,44.0,-145.0,78.0,30.0,-97.0,82.0,31.0,-158.0,83.0,44.0,-133.0,58.0,24.0,-156.0,-31.0
439,SHEPPARTON REGION - EAST,3897,3891,3881,3857,3879,19.0,-41.0,16.0,21.0,-46.0,15.0,14.0,-53.0,15.0,21.0,-10.0,11.0,18.0,-60.0,-6.0
