,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
157,KNOXCI8549,Boronia Busybodies Health & Fitness Centre,Erica,BORONIA,3155.0,-37.861278,145.284043,,"29 Erica Avenue, BORONIA 3155",64 K9
158,KNOXCI8566,Fitness First Health Clubs,Burwood,WANTIRNA SOUTH,3152.0,-37.869,145.243,,"509 Burwood Highway, WANTIRNA SOUTH 3152",64 A11
159,KNOXCI8568,Future Health & Fitness,Laser,ROWVILLE,3178.0,-37.91,145.2445,,"6 Laser Drive, ROWVILLE 3178",73 A10
160,KNOXCI8578,Jetts Fitness Boronia,Dorset,BORONIA,3155.0,-37.861223,145.285471,,"3/241 Dorset Road, BORONIA 3155",64 K9
161,KNOXCI8604,Platinum Health & Fitness Centre,Corporate,ROWVILLE,3178.0,-37.920156,145.218242,," Corporate Avenue, ROWVILLE 3178",81 E2
162,KNOXCI8624,Winning Physique Gym,Underwood,FERNTREE GULLY,3178.0,-37.881857,145.2965,,"3/170 Underwood Drive, FERNTREE GULLY 3178",74 C3
163,KNOXCI8625,Wow Health & Fitness,Lewis,WANTIRNA SOUTH,3152.0,-37.8705,145.2495,,"26/111 Lewis Road, WANTIRNA SOUTH 3152",64 B11
164,KNOXCI5552,Anytime Fitness Bayswater,High,BAYSWATER,3153.0,-37.842701,145.266609,,"7-13 High Street, BAYSWATER 3153",
165,KNOXCI5555,Personal Best Fitness Centre,Bayswater,BAYSWATER,3153.0,-37.83602,145.271846,,"379 Bayswater Road, BAYSWATER 3153",
166,KNOXCI8584,Knox Gymnastics Centre,Mossfield,FERNTREE GULLY,3156.0,-37.881,145.276,,"4 Mossfield Avenue, FERNTREE GULLY 3156",73 H2
167,KNOXCI8599,Mountain Districts Gymnastics Centre,Michellan,BAYSWATER,3153.0,-37.842391,145.241647,,"23 Michellan Court, BAYSWATER 3153",64 A4
168,LATROB11390,Body and Soul Group Fitness Centre,Davidson,TRARALGON,3844.0,-38.190521,146.539291,,"5/15 Davidson street, TRARALGON 3844",696 H5
169,LATROB11441,Reps Fitness Club,Lloyd,MOE,3825.0,,,,"83 Lloyd Street, MOE 3825",700 D5
170,LATROB11451,Traralgon Fun Fitness Centre,Argyle,TRARALGON,3844.0,,,,"180 Argyle street, TRARALGON 3844",696 J6
171,LATROB11403,Traralgon Fun Fitness Centre,Argyle,TRARALGON,3844.0,-38.190688,146.558518,,"180-182 Argyle Street, TRARALGON 3844",696 F8
172,LATROB11526,Energetic Gymnastics (Lavalla Catholic College),Grey,TRARALGON,3844.0,,,," Grey Street, TRARALGON 3844",
173,LATROB11493,Morwell Academy of Gym,Princes,MORWELL,3840.0,,,,"523 Princes Drive, MORWELL 3840",
174,LATROB11520,Ulinga Gymnastics Club,Traralgon-Maffra,TRARALGON,3844.0,,,," Traralgon-Maffra Road, TRARALGON 3844",
175,MACEDO10927,Jets Gymnastics,Hamilton,NEW GISBORNE,3438.0,-37.456422,144.603694,,"200 Hamilton Road, NEW GISBORNE 3438",415 C13
176,MANNIN10995,Definition Fitness Centre,Blackburn,EAST DONCASTER,3109.0,-37.776105,145.165123,,"352 Blackburn Road, EAST DONCASTER 3109",
177,MANNIN11007,Focus Health & Fitness,Bulleen ,BULLEEN,3105.0,,,,"209 Bulleen  Road, BULLEEN 3105",
178,MANNIN11461,BTYC Gymnastics,Springvale,DONVALE,3111.0,,,,"360 Springvale Road, DONVALE 3111",
179,MANNIN11455,Carey Gymnastics Club,Bulleen ,BULLEEN,3101.0,,,,"169 Bulleen  Road, BULLEEN 3101",
180,MANSFI11486,Mansfield Gymnastic Club,Highett,MANSFIELD,3722.0,,,," Highett Street, MANSFIELD 3722",
181,MARIBY8458,Footscray Park Aquatic and Fitness Centre (Vic Uni),Ballarat,FOOTSCRAY,3011.0,-37.792875,144.898001,," Ballarat Road, FOOTSCRAY 3011",42 C2
182,MARIBY5530,Anytime Fitness West Footscray,Ashley,BRAYBROOK,3019.0,-37.794398,144.86264,,"67 Ashley Street, BRAYBROOK 3019",
183,MARIBY5535,Crunch Fitness,Rosamond,MARIBYRNONG,3032.0,-37.775697,144.886545,,"120-200 Rosamond Road, MARIBYRNONG 3032",
184,MARIBY5532,Derrimut 24/7 Gym,Ballarat,BRAYBROOK,3019.0,-37.780115,144.861437,,"244-246 Ballarat Road, BRAYBROOK 3019",
185,MARIBY8454,Focus Health and Fitness Yarraville,Hyde,YARRAVILLE,3013.0,-37.809801,144.899339,,"121-123 Hyde Street, YARRAVILLE 3013",42 C7
186,MARIBY8460,Fusion Martial Arts & Fitness,Hyde,YARRAVILLE,3013.0,-37.821389,144.896175,,"275 Hyde Street, YARRAVILLE 3013",42 C 9
187,MARIBY8461,Genesis Fitness Maidstone,Hampstead,MAIDSTONE,3012.0,-37.775649,144.880083,,"42 Hampstead Road, MAIDSTONE 3012",27 J10
188,MARIBY8487,United Force Gymnasium,Barkly,FOOTSCRAY,3012.0,-37.796787,144.873101,,"630 Barkly Street, FOOTSCRAY 3012",41 G3
189,MARIBY5531,Zoo Fitness - Braybrook,Ballarat,BRAYBROOK,3019.0,-37.780523,144.861096,,"2/244 Ballarat Road, BRAYBROOK 3019",
190,MARIBY11523,Footscray City Gym Club,Mitford ,WEST FOOTSCRAY,3012.0,,,,"10 Mitford  Parade, WEST FOOTSCRAY 3012",
191,MAROON11016,Genesis Fitness Club Ringwood,Maroondah,RINGWOOD,3134.0,-37.815835,145.224604,,"93-97 Maroondah Highway, RINGWOOD 3134",49 G9
192,MAROON11026,Jetts Fitness Ringwood,Maroondah,RINGWOOD,3134.0,-37.817472,145.223661,,"76-82 Maroondah Highway, RINGWOOD 3134",49 F9
