,suburb,2014income,2015income,2016income,2017income,2018income
287,CROYDON SOUTH," 2,690 "," 2,712 "," 2,715 "," 2,772 ","2,861"
288,FOREST HILL," 5,932 "," 5,930 "," 6,100 "," 6,331 ","6,407"
289,MITCHAM (VICNP)," 9,668 "," 9,757 "," 10,137 "," 10,311 ","10,599"
290,NUNAWADING," 6,608 "," 6,616 "," 6,983 "," 7,174 ","7,287"
291,VERMONT," 6,126 "," 6,116 "," 6,306 "," 6,416 ","6,497"
292,VERMONT SOUTH," 7,310 "," 7,251 "," 7,373 "," 7,510 ","7,617"
293,BELGRAVE - SELBY," 5,986 "," 5,963 "," 6,171 "," 6,191 ","6,372"
294,CHIRNSIDE PARK," 5,911 "," 6,082 "," 6,479 "," 6,762 ","7,024"
295,HEALESVILLE - YARRA GLEN," 7,573 "," 7,588 "," 7,908 "," 8,088 ","8,182"
296,KILSYTH," 5,058 "," 5,063 "," 5,304 "," 5,389 ","5,430"
297,LILYDALE - COLDSTREAM," 11,215 "," 11,198 "," 11,457 "," 11,549 ","11,566"
298,MONBULK - SILVAN," 3,433 "," 3,435 "," 3,497 "," 3,581 ","3,592"
299,MONTROSE," 4,025 "," 4,052 "," 4,091 "," 4,146 ","4,102"
300,MOOROOLBARK," 12,665 "," 12,808 "," 13,191 "," 13,446 ","13,601"
301,MOUNT DANDENONG - OLINDA," 6,004 "," 6,032 "," 6,087 "," 6,098 ","6,085"
